ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_BIEN,DESCRIPCION_BIEN,CARACTERISTICAS_BIEN,VALOR_BIEN
FUERZA POPULAR,PRIMER VICEPRESIDENTE DE LA REPUBLICA,JOSE,CHLIMPER ACKERMAN,Muebles y enseres,En las 3 propiedades,Varios,200000
FUERZA POPULAR,PRIMER VICEPRESIDENTE DE LA REPUBLICA,JOSE,CHLIMPER ACKERMAN,Semovientes,En predio Huarocondo,10 llamas finas + 06 ovejas Merino + 04 bobinos puro por cruce,10000
FUERZA POPULAR,PRIMER VICEPRESIDENTE DE LA REPUBLICA,JOSE,CHLIMPER ACKERMAN,Pinturas y esculturas,En las 3 propiedades,Variado,350000
FUERZA POPULAR,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,VLADIMIRO,HUAROC PORTOCARRERO,Objetos de arte,"Cerámica, escultura, arte.",Arte popular moderno y prehispánico.,25000
FUERZA POPULAR,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,VLADIMIRO,HUAROC PORTOCARRERO,Pinturas,Al óleo con grabados,Arte abstracto con motivos andino y español,85000
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JOSE ANTONIO,BAFFIGO TORRE,03 sortijas  ,Oro 45gr c/u 18 kilates,18 kilates,34760
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JOSE ANTONIO,BAFFIGO TORRE,01 esclava,Oro 45 gr,18 kilates,17380
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JOSE ANTONIO,BAFFIGO TORRE,Menaje de casa,computadoras,.,6000
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JOSE ANTONIO,BAFFIGO TORRE,Menaje de casa,Cocina y televisores,.,4500
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JOSE ANTONIO,BAFFIGO TORRE,Menaje de casa,Refrigeradora,.,2500
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JULIO ERNESTO,CARDENAS ASPAJO,Cuadro ,Mensaje Nativo,.,200
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LEONEL MILTON,FALCON GUERRA,EQUIPOS INFORMATICOS,LAPTOP CELULARES COMPUTADORAS,ESTANDAR,10000
PARTIDO HUMANISTA PERUANO,CONGRESISTA,RAUL,DEL CASTILLO ALATRISTA,ELECTRODOMÉSTICOS,"LIBROS, MUEBLES, EQUIPOS INFORMATICOS","ESPECIALIDAD DERECHO, MUEBLES DE PINO",200000
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ROSA DELSA,MAVILA LEON,MENAJE Y EQUIPOS,MENAJE Y EQUIPOS,"Conjunto de instrumentos, muebles y equipos especiales",35000
PARTIDO HUMANISTA PERUANO,CONGRESISTA,TONY FRANCO,BALDEON GARCIA,Libros,Medicina,Especialidad,50000
PARTIDO HUMANISTA PERUANO,CONGRESISTA,TONY FRANCO,BALDEON GARCIA,Joyas,Ornamentales,Cadenas-Medallas,50000
PARTIDO HUMANISTA PERUANO,CONGRESISTA,TONY FRANCO,BALDEON GARCIA,Libros,Contabiliad-Auditoria,Especialidad,200000
PARTIDO HUMANISTA PERUANO,CONGRESISTA,TONY FRANCO,BALDEON GARCIA,Libros,Derecho,Especialidad,50000
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ZENON DELFIN,ARANDA ROMERO,Prestamo Perosnal Mi Banco ,Prestamo,Deuda,35000
PARTIDO HUMANISTA PERUANO,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ROSA DELSA,MAVILA LEON,MENAJE Y EQUIPOS,MENAJE Y EQUIPOS,"Conjunto de instrumentos, muebles y equipos especiales",35000
PARTIDO NACIONALISTA PERUANO,CONGRESISTA,LEONIDAS,HUAYAMA NEIRA,SOCIO EN LA EMPRESA RUFINA SAC,SOCIO EN LA EMPRESA RUFINA SAC,SOCIO EN LA EMPRESA RUFINA SAC,30000
PARTIDO NACIONALISTA PERUANO,CONGRESISTA,LEONIDAS,HUAYAMA NEIRA,SOCIO EN LA EMPRESA I.E.P. ASUNCION SAC,SOCIO EN LA EMPRESA I.E.P. ASUNCION SAC,SOCIO EN LA EMPRESA I.E.P. ASUNCION SAC,62000
PARTIDO NACIONALISTA PERUANO,CONGRESISTA,LEONIDAS,HUAYAMA NEIRA,SOCIO EN LA EMPRESA NATIVIDAD SAC,SOCIO EN LA EMPRESA NATIVIDAD SAC,SOCIO EN LA EMPRESA NATIVIDAD SAC,6000
PARTIDO NACIONALISTA PERUANO,CONGRESISTA,MAX VELL,QUINTO PAREDES,COMPUTADORA PORTATIL,PORTIL,TOSHIBA I5,2800
PARTIDO POLITICO ORDEN,CONGRESISTA,AMILCAR VLADIMIR,YUFRA HENRIQUEZ,BANCO DE CRÉDITO DEL PERÚ,TARJETA DE CRÉDITO,VISA ORO LAN PASS,5000
PARTIDO POLITICO ORDEN,CONGRESISTA,AMILCAR VLADIMIR,YUFRA HENRIQUEZ,TARJETA DE CRÉDITO INTERBANK,VISA PREMIA ,INTERBANK,1300
PARTIDO POLITICO ORDEN,CONGRESISTA,BENJAMIN BENITO,CASTILLO FLORIAN,2 FOTOCOPIADORA,MINOLTA,DIALTA,4000
PARTIDO POLITICO ORDEN,CONGRESISTA,BENJAMIN BENITO,CASTILLO FLORIAN,FOTOCOPIADORA,MINOLTA 750,BIZHUB,5500
PARTIDO POLITICO ORDEN,CONGRESISTA,BENJAMIN BENITO,CASTILLO FLORIAN,2 IMPRESORAS,HP,-,2000
PARTIDO POLITICO ORDEN,CONGRESISTA,BENJAMIN BENITO,CASTILLO FLORIAN,3 COMPUTADORAS,-,GENERALES,4500
PARTIDO POLITICO ORDEN,CONGRESISTA,BENJAMIN BENITO,CASTILLO FLORIAN,FOTOCOPIADORA,MINOLTA 601,BIZHUB,6000
PARTIDO POLITICO ORDEN,CONGRESISTA,CARLOS ALBERTO,TORRES CARO,PINTURAS Y OTROS,OBRAS DE ARTE ,VARIOS,200000
PARTIDO POLITICO ORDEN,CONGRESISTA,CARLOS ALBERTO,TORRES CARO,BIBLIOTECA ,LIBROS,LIBROS ANTIGUOS,200000
PARTIDO POLITICO ORDEN,CONGRESISTA,CARLOS ALBERTO,TORRES CARO,COLECCIÓN,AJEDREZ,ORIGINALES,200000
PARTIDO POLITICO ORDEN,CONGRESISTA,CARLOS ALBERTO,TORRES CARO,JOYAS ,"RELOJES, MONEDAS, ANILLOS, ETC",ORO/PLATA,200000
PARTIDO POLITICO ORDEN,CONGRESISTA,CARLOS ALBERTO,TORRES CARO,COLECCIÓN,DON QUIXOTE,ORIGINALES,200000
PARTIDO POLITICO ORDEN,CONGRESISTA,CESAR HUMBERTO,GALINDO AGUIRRE,ACCIONISTA,TRANSPORTES GALINDO AGUIRRE SAC,ACCIONES (14.3%),4000
PARTIDO POLITICO ORDEN,CONGRESISTA,CESAR HUMBERTO,GALINDO AGUIRRE,ACCIONISTA,CIA MINERA CARLOS CESAR GALINDO ASOCIADOS,ACCIONES (50%),193865
PARTIDO POLITICO ORDEN,CONGRESISTA,CESAR HUMBERTO,GALINDO AGUIRRE,ACCIONISTA ,INVERSIONES GALINDO AGUIRRE SAC,ACCIONES (50%),2500
PARTIDO POLITICO ORDEN,CONGRESISTA,CESAR HUMBERTO,GALINDO AGUIRRE,ACCIONISTA,CORPORACION MINERA TOMA LA MANO,ACCIONISTA (5.5%),317400
PARTIDO POLITICO ORDEN,CONGRESISTA,EMILIANO ELIAS,MENDOZA ZEVALLOS,NO,NO,NO,0
PARTIDO POLITICO ORDEN,CONGRESISTA,HUGO ORLANDO,RUIZ ABARCA,Automovil Sedan,Toyota-Corona Gt- 1975,A2Q-012,15750
PARTIDO POLITICO ORDEN,CONGRESISTA,JACQUELINE ROSMERY,MARTELLO MORENO,Cuenta de Ahorros INTERBANK,Ahorro,Interbank,10000
PARTIDO POLITICO ORDEN,CONGRESISTA,JACQUELINE ROSMERY,MARTELLO MORENO,Cuenta de Ahorros BCP,Ahorro,BCP,15000
PARTIDO POLITICO ORDEN,CONGRESISTA,MARCO ANTONIO,RUIZ ONTON,XXXX,XXXX,XXXX,0
PARTIDO POLITICO ORDEN,CONGRESISTA,RICARDO ROBERTO,WOOLCOTT ECHEVARRIA,MUEBLES,"MUEBLES DE SALA,COMEDOR,DORMITORIO Y COCINA Y OTROS AFINES.",-,30000
PARTIDO POLITICO ORDEN,CONGRESISTA,ROMULO,MUCHO MAMANI,ACCIONES,70% ACCIONARIADO PEVOEX CONTRATISTAS S.A.C,ACCIONES,0
PARTIDO POLITICO ORDEN,CONGRESISTA,ROMULO,MUCHO MAMANI,LIBROS,DE ESPECIALIDAD ,DIVERSAS,60000
PARTIDO POLITICO ORDEN,CONGRESISTA,ROMULO,MUCHO MAMANI,AHORROS,DEPOSITOS Y COLOCACIONES BANCARIAS,SALDOS VARIABLES,3500000
PARTIDO POLITICO ORDEN,CONGRESISTA,ROSA ELVIRA,BALABARCA MORALES DE HIDALGO,Muebles ,"juego de muebles, mesa comedor, cama, equipo de gimnasia",De hogar,15000
PARTIDO POLITICO ORDEN,CONGRESISTA,ROSA ELVIRA,BALABARCA MORALES DE HIDALGO,Cuenta ahorros BBVA,Ahorros, mancomunados,390000
PARTIDO POLITICO ORDEN,CONGRESISTA,ROSA ELVIRA,BALABARCA MORALES DE HIDALGO,Muebles de cocina,"Refrigeradora,cocina, microondas.",Cocina,5000
PARTIDO POLITICO ORDEN,CONGRESISTA,ROSA ELVIRA,BALABARCA MORALES DE HIDALGO,JOYAS,"Cadenas, Dijes",De oro,15000
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Mobiliario ,Mobiliario contenido en mi oficina profesional de  Abogado,xxxxxxxxx,70000
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Afiliación ,La titularidad de mi afiliación a diversos clubes ,xxxxxxxxxx,0
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Valores mobiliarios y participaciones sociales,"El 99,97% de las acciones de ""Construcfac S.A"".,  cuyo patrimonio  contable al 31.12.2014 es de  1'616,666.00",xxxxxxxx,1606184
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Participaciones Sociales,"Participación en el ""Estudio Flores-Araoz & Asociados SCRL es con el 50% cuyo valor asciende  a S/. 604,453.50",xxxxxxxx,604453.5
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Titular Integro ,"Titular de ""Inverfac E.I.R.L."" cuyo patrimonio contable al 31.12.2014 es de S/. 757,394.00",xxxxxxxxx,757394
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Acciones ,"(376,605) del Banco Financiero, con valor nominal S/. 1.- cada una",xxxxxxxxx,376605
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Depósitos  y colocaciones bancarias,Saldos variables,xxxxxxxxxx,0
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Mobiliario,Muebles y enseres contenido en el inmueble que habito con mi familia,xxxxxxx,300000
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Mobiliario,Muebles y enseres contenido en el Dpto de Playa en el Distrito de Ancón,xxxxxxxx,100000
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Mobiliario ,Muebles y enseres contenidos en la casa de playa en el Distrito de Asia,xxxxxxxxxxx,80000
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Servicio Telefónico,La titularidad de los servicios telefónicos que se encuentran a mi nombre,xxxxxxxxxxx,0
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Acciones ,"Acciones  en ""Country Inn SA"" sin valor en la actualidad",xxxxxxxxxxxx,0
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Banco Interamericano de Finanzas ,"Depósitos  en cuenta: Cta. Interamericana en Moneda Extranjera US$  92,023.41 ",Saldos al 31.12.2015,313799.84375
PARTIDO POLITICO ORDEN,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ROMULO,MUCHO MAMANI,LIBROS,DE ESPECIALIDAD ,DIVERSAS,60000
PARTIDO POLITICO ORDEN,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ROMULO,MUCHO MAMANI,ACCIONES,70% ACCIONARIADO PEVOEX CONTRATISTAS S.A.C,ACCIONES,0
PARTIDO POLITICO ORDEN,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ROMULO,MUCHO MAMANI,AHORROS,DEPOSITOS Y COLOCACIONES BANCARIAS,SALDOS VARIABLES,3500000
PERU LIBERTARIO,CONGRESISTA,MOISES VIDAL,RAMON GONZALES,PC,COREL 2 DUO,COREL 2 DUO,600
PERU LIBERTARIO,CONGRESISTA,MOISES VIDAL,RAMON GONZALES,LAPTOP,DELL,COREL,700
PERU LIBERTARIO,CONGRESISTA,PORFIRIO,VELIZ SALAS,TERRENO SOLAR,MATERIAL NOBLE,CERCADO CON BLOQUETA,30000
PERU NACION,CONGRESISTA,MANUEL TEODORO,MACEDO ALTAMIRANO,MOTOCAR,ZONG SHEN 150 2015,ZS150-N,8000
PERU NACION,CONGRESISTA,PEDRO RODOLFO,GAITAN CASTRO,ESTUDIO DE GRABACIÓN,"EQUIPOS DE AUDIO, SONIDO, TARJETAS DE SONIDO, COMPUTADORA Y PANTALLAS MAC, CONSOLA, GUITARRAS, MICRÓFONOS PROFESIONALES,",Equipos de Sonido de Grabación Profesional,350000
PERU NACION,CONGRESISTA,PEDRO RODOLFO,GAITAN CASTRO,Muebles de Hogar y de madera fina y óleos ,"Muebles y óleos y linea blanca, etc.",Todos de primera calidad,82000
PERU NACION,CONGRESISTA,PEDRO RODOLFO,GAITAN CASTRO,Equipos y Muebles completos para Restaurante,"Cocina, Congeladoras, Freidora, PLANCHA, Mesas de trabajo, menajería, muebles completos para Salón, estructuras metálica",Todos los equipos y muebles son de última generación,345000
PERU PATRIA SEGURA,CONGRESISTA,ADOLFO,QUISPE CONDORI,RADIO TV. LAJAS EIRL,RADIODIFUSION,930 AM,2100
PERU PATRIA SEGURA,CONGRESISTA,FERNANDO ENRIQUE,MONTOYA MONTOYA,BIBLIOTECA PERSONA,VARIOS,VARIOS,200000
PERU PATRIA SEGURA,CONGRESISTA,FERNANDO ENRIQUE,MONTOYA MONTOYA,DERECHOS DE INMUEBLES,CALLE HUSCAR NRO 205 - ALTO SELVA ALEGRE,33%,50000
PERU PATRIA SEGURA,CONGRESISTA,JOSE LUIS,CHIRINOS CHIRINOS,TERRENO,LOTES,LOTES PARA VIVIENDA,2000000
PERU PATRIA SEGURA,CONGRESISTA,KAZAN,OCAMPO CARPIO,ANTIGUEDADES,COLECCION DE ESTAMPILLAS,VARIOS,30000
PERU PATRIA SEGURA,CONGRESISTA,KAZAN,OCAMPO CARPIO,MUEBLES DE SPA,VARIOS,VARIOS,20000
PERU PATRIA SEGURA,CONGRESISTA,KAZAN,OCAMPO CARPIO,MUEBLES DE OFICINA,"COMPUTADORA, LAPTOPS, ESCRITOIO, SILLONES Y OTROS",VARIOS,20000
PERU PATRIA SEGURA,CONGRESISTA,KAZAN,OCAMPO CARPIO,MUEBLES DE CASA,"SALA, COMEDOR, DORMITORIOS, COCINA",VARIOS,50000
PERU PATRIA SEGURA,CONGRESISTA,LUCIO EUGENIO,MENDOZA SAAVEDRA,Casa-Habitación,Adobe,Adobe,25000
PERU POSIBLE,CONGRESISTA,EDUARDA HAYDEE,TORPOCO RAYMUNDO ,EMPRESA GUTISA EIRL. ,-,-,1115928
PERU POSIBLE,CONGRESISTA,FRANK,LINARES PEREZ ,"UNIDAD DENTAL, INSUMO DENTAL",EQUIPOS,EQUIPOS MEDICOS,70000
PERU POSIBLE,CONGRESISTA,JOHN EVELIO,DEL ROSARIO RAMIREZ ,MUEBLES Y ENSERES,NINGUNO,NINGUNO,50000
PERU POSIBLE,CONGRESISTA,JORGE,PERLACIOS VELASQUEZ,ARTEFACTOS Y OTROS,ARTEFACTOS,ARTEFACTOS,30000
PERU POSIBLE,CONGRESISTA,JORGE EDUARDO,LOPEZ VALLES,CASA,FABRICA,01 PLANTA 50 M2,30000
PERU POSIBLE,CONGRESISTA,MARIA AZUCENA,ALEGRIA ROMAN ,MAQUINA COSER,JUKI,OJALADORA,15000
PERU POSIBLE,CONGRESISTA,MARIA AZUCENA,ALEGRIA ROMAN ,MAQUINA CERRADORA,JUKI,CERRADORA,12000
PERU POSIBLE,CONGRESISTA,MARIA AZUCENA,ALEGRIA ROMAN ,MAQUINA BOTONERA,JUKI,BOTONERA,6000
PERU POSIBLE,CONGRESISTA,MARIA AZUCENA,ALEGRIA ROMAN ,MAQUINA ATRACADORA,DE JEANS,ATRACADORA,7000
PERU POSIBLE,CONGRESISTA,MARIA DEL CARMEN,OMONTE DURAND,"Joyas, Objetos de Arte","Joyas de Oro, cuadros de Oleo","Collares, pulseras de coleccion",500000
PERU POSIBLE,CONGRESISTA,MARIELA,MOYA SOTO ,ACCIONES,MARYLY S.R.L,VALOR ACCION 1 NUEVO SOL,99000
PERU POSIBLE,CONGRESISTA,MELQUIADES EULALIO,BALDEON PARDO ,ACCIONES,CORPORACIÓN BALDEON SAC,1000 ACCIONES A 1 UN SOLES C/U,1000
PERU POSIBLE,CONGRESISTA,MELQUIADES EULALIO,BALDEON PARDO ,ACCIONES,EMPRESA ATAVILLOS SAC,41250 ACCIONES A 10 SOLES C/U,4125
PERU POSIBLE,CONGRESISTA,MIGUEL ANGEL,LAURA MEDINA,ACCIONISTA ,SOCIO ACCIONISTA,ACCIONES ,150000
PERU POSIBLE,CONGRESISTA,PEDRO NICOLAS,CARRANZA LOPEZ,camioneta,nissan-navara,H1M807,30000
PERU POSIBLE,PRESIDENTE DE LA REPUBLICA,ALEJANDRO,TOLEDO MANRIQUE,Pintura ,Objeto de Arte,Oleo,69596
PERU POSIBLE,PRESIDENTE DE LA REPUBLICA,ALEJANDRO,TOLEDO MANRIQUE,Menaje de Hogar,Artefactos,Marcas diversas,77387
PERU POSIBLE,PRIMER VICEPRESIDENTE DE LA REPUBLICA,FERNANDO MARCIAL,AYAIPOMA ALVARADO,Pintura,Lienzo- Escuela Cusqueña,"Sagrada Familia, Siglo XVIII",20000
PERU POSIBLE,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MARIA DEL CARMEN,OMONTE DURAND,"Joyas, Objetos de Arte","Joyas de Oro, cuadros de Oleo","Collares, pulseras de coleccion",500000
PERUANOS POR EL KAMBIO,CONGRESISTA,ALEX JOEL,CASTILLO BAZAN,JOYAS,"SORTIJAS, PULSERAS, ORO 18 K",VARIOS,10000
PERUANOS POR EL KAMBIO,CONGRESISTA,AUGUSTO,SIPION BARRIOS,EMBARCACION PESQUERA,N° DE REGISTRO : 11020346,VARIOS,12000
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS RICARDO,BRUCE MONTES DE OCA,DEPOSITOS,PLAZO FIJO,VARIAS ENTIDADES,835426.625
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS RICARDO,BRUCE MONTES DE OCA,ACCIONES,INVERSIONES PROTON,VARIOS,18930
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS RICARDO,BRUCE MONTES DE OCA,EQUIPOS,ELECTRODOMESTICOS,VALOR APROXIMADO,32000
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS RICARDO,BRUCE MONTES DE OCA,OBRAS DE ARTE,VARIOS,VALOR APROXIMADO,28000
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS RICARDO,BRUCE MONTES DE OCA,ACCIONES,INVERSIONES EIVISSA,VARIOS,162000
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN,CHIROQUE PAICO,JOYAS,VARIOS,ORO 18K,25000
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN GEORGINA,DUARTE PATIÑO DE PEZET,ESCULTURA,MUJER FRUTERA,BRONCE DE FERNANDO BOTERO ,25000
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN GEORGINA,DUARTE PATIÑO DE PEZET,PINTURAS ,VARIAS (45),"OLEOS, ACUARELAS ",70000
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN ROSA,NUÑEZ CAMPOS,ELECTRODOMESTICOS,VARIAS,USO DOMESTICO,150000
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN ROSA,NUÑEZ CAMPOS,CUADROS Y JOYAS,CUADROS Y JOYASVARIOS,VARIOS,400000
PERUANOS POR EL KAMBIO,CONGRESISTA,CELINA,PALOMINO SULCA,JOYAS,JOYAS,ORO- BRILLANTES,35000
PERUANOS POR EL KAMBIO,CONGRESISTA,CELINA,PALOMINO SULCA,ACCIONES,ACCIONES,CORPORACION PASIS SAC,25000
PERUANOS POR EL KAMBIO,CONGRESISTA,CELINA,PALOMINO SULCA,ACCIONES,ACCIONES,INDUSOL SAC,25000
PERUANOS POR EL KAMBIO,CONGRESISTA,DAMIAN,DE LA CRUZ CCANTO,16 TIJERAS,PARA DANZA TIPICA,ACERO INOXIDABLE,8000
PERUANOS POR EL KAMBIO,CONGRESISTA,DAMIAN,DE LA CRUZ CCANTO,LOS TRAJES TIPICOS,VESTIMENTA PARA DANZA DE TIJERAS,BORDADO A MANO CON HILO DORADO Y PLATA ,40000
