ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,PROCESO_ELECTORAL,ORGANIZACION_POLITICA,ANIO_INICIO,ANIO_FINAL,CARGO_ELEGIDO
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CARLOS FEDERICO,LEYTON MUÑOZ ,ELECCIONES REGIONALES Y MUNICIPALES 2006,AREQUIPA TRADICION Y FUTURO,2006,2009,VICEGOBERNADOR(A) REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR,VILLANUEVA AREVALO ,2010,MOVIMIENTO REGIONAL NUEVA AMAZONIA,2011,2014,GOBERNADOR(A) REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR,VILLANUEVA AREVALO ,2006,MOVIMIENTO REGIONAL NUEVA AMAZONIA,2007,2010,GOBERNADOR(A) REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR TEDDY,UBILLUS OLEMAR ,ERM 1986,PARTIDO APRISTA PERUANO,1987,1989,REGIDOR(A) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,EDITH JANETT,HUARI CONTRERAS,ELECCIONES REGIONALES Y MUNICIPALES 2010,MOVIMIENTO POLÍTICO REGIONAL PERÚ LIBRE,2011,2014,CONSEJERO REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,EDUARDO RUBEN,CARHUARICRA MEZA ,ELECCIONES MUNICIPALES 1995,MOVIMIENTO INTEGRACIÓN Y DESARROLLO,1996,1998,ALCALDE(SA) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,EDUARDO RUBEN,CARHUARICRA MEZA ,ELECCIONES GENERALES 2001,PARTIDO POLÍTICO SOMO PERÚ,2001,2006,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELOY RICARDO,NARVAEZ SOTO ,ELECCIONES REGIONALES Y MUNICIPALES 2002,PARTIDO APRISTA PERUANO,2004,2006,GOBERNADOR(A) REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELOY RICARDO,NARVAEZ SOTO ,ELECCIONES REGIONAL Y MUNICIPALES 2002,PARTIDO APRISTA PERUANO,2003,2003,VICEGOBERNADOR(A) REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELSA,VASQUEZ RUIZ ,ELECCIONES REGIONALES Y MUNICIPALES 2006,ACCION REGIONAL,2007,2010,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELSA YOLANDA,MAMANI CARPIO ,ELECCIONES REGIONALES Y MUNICIPALES 2010,PARTIDO SIEMPRE UNIDOS,2011,2014,REGIDOR(A) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,FERNANDO JUAN,ANDRADE CARMONA ,ELECCIONES GENERALES MUNICIPALES 1995,PARTIDO SOMOS PERU,1996,1999,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,FERNANDO JUAN,ANDRADE CARMONA ,ELECCIONES GENERAL 2011,ALIANZA  PERU POSIBLE,2011,2016,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,FERNANDO JUAN,ANDRADE CARMONA ,ELECIONES REGIONALES Y MUNICIPALES 2002,ELECCIONES REGIONALES Y MUNICIPALES 2002,2003,2006,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GELACIO LOMBARDO,MAUTINO ANGELES ,ELECCIONES REGIONALES Y MUNICIPALES 2002,MOVIMIENTO ACCION NACIONALISTA PERUANO,2003,2006,ALCALDE(SA) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GELACIO LOMBARDO,MAUTINO ANGELES ,ELECCIONES REGIONALES Y MUNICIPALES 2006,MOVIMIENTO ACCION NACIONALISTA PERUANO,2007,2010,ALCALDE(SA) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GLADYS NATALIE,CONDORI JAHUIRA ,ELECCIONES GENERALES 2011,PARTIDO NACIONALISTA PERUANO,2011,2016,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GLORIA EDELMIRA,MONTENEGRO FIGUEROA ,ELECCIONES REGIONALES Y MUNICIPALES 2006,ALIANZA PARA EL PROGRESO,2007,2010,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GLORIA EDELMIRA,MONTENEGRO FIGUEROA ,ELECCIONES REGIONALES Y MUNICIPALES 2010,ALIANZA PARA EL PROGRESO,2011,2014,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,HERNAN,DE LA TORRE DUEÑAS ,MOVIMIENTO INDEPENDIENTE LOCAL,ELECCIONES REGIONALES Y MUNICIPALES 1995,1996,1998,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,HERNAN,DE LA TORRE DUEÑAS ,ELECCIONES GENERALES 2010,GANA PERU,2011,2016,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,HERNAN,DE LA TORRE DUEÑAS ,ELECCIONES REGIONALES Y MUNICIPALES 2006,UPP,2007,2010,ALCALDE(SA) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,HERNAN,DE LA TORRE DUEÑAS ,ELECCIONES REGIONALES Y MUNICIPALES 1998,MOVIMIENTO INDEPENDIENTE LOCAL,1999,2002,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,INDIRA MARIANA,URCIA AREVALO ,ELECCIONES REGIONALES Y MUNICIPALES 2006,MOVIMIENTO AGRARIO POPULAR UCAYALINO,2007,2010,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,INDIRA MARIANA,URCIA AREVALO ,ELECCIONES REGIONALES Y MUNICIPALES 2010,MOVIMIENTO REGIONAL INTEGRADO UCAYALI,2011,2014,CONSEJERO REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ISAAC,MEKLER NEIMAN,ELECCIONES GENERALES 2006,UNIÓN POR EL PERÚ - UPP,2006,2011,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JAVIER,YAURI SALOME ,ELECCIONES REGIONALES Y MUNICIPALES DEL 2006,JUNIN SOSTENIBLE CON SU GENTE,2007,2010,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JORGE FAUSTO,SUMARI BUENDIA ,ELECCIONES REGIONAMES Y MUNICIPALES 2010,"AREQUIPA, TRADICION Y FUTURO",2011,2014,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JORGE FAUSTO,SUMARI BUENDIA ,ELECCIONES GENERALES MUNICIPALES 1995,L.I. NRO 13 DE LA UNIV,1996,1998,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JORGE FAUSTO,SUMARI BUENDIA ,ELECCIONES MUNICIPALES 2006,"AREQUIPA, TRADICION Y FUTURO",2007,2011,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JOSE ALFONSO,MASLUCAN CULQUI ,2006,UNION POR EL PERU,2006,2011,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JOSE FERNANDO,MENDOZA RAMIREZ ,ELECCIONES MUNICIPALES 1986,PARTIDO POPULAR CRISTIANO,1988,1989,REGIDOR(A) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JOSE FERNANDO,MENDOZA RAMIREZ ,ELECCIONES MUNICIPALES 1989,FREDEMO,1990,1992,REGIDOR(A) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN ANTONIO,JARA GALLARDO ,ELECCIONES 1990,IZQUIERDA SOCIALISTA,1990,1992,DIPUTADO(A)
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN JOSE MARTIN,FORT CABRERA,ELECCIONES REGIONALES Y MUNICIPALES 2010,ALIANZA PARA EL PROGRESO,2011,2014,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN RAMIRO,ALVARADO GOMEZ,ERM 2010,PERU POSIBLE,2011,2014,REGIDOR(A) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN RAMIRO,ALVARADO GOMEZ,ERM 2014,MOVIMIENTO POLITICO VILLA CAMBIA,2015,Actualidad,REGIDOR(A) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JULIO PABLO,ROSAS HUARANGA,ELECCIONES GENERALES 2011,FUERZA 2011,2011,2016,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LILIA,VARGAS CESPEDES ,ERM 2006,UNION POR EL PERU,2007,2010,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LILIA,VARGAS CESPEDES ,ERM 2010,MOVIMIENTO POPULAR KALLPA,2011,2014,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LUIS CARLOS ANTONIO,IBERICO NUÑEZ,ELECCIONES GENERALES 2000,FRENTE INDEPENDIENTE MORALIZADOR,2000,2001,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LUIS CARLOS ANTONIO,IBERICO NUÑEZ,ELECCIONES GENERALES 2001,FRENTE INDEPENDIENTE MORALIZADOR,2001,2006,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LUIS CARLOS ANTONIO,IBERICO NUÑEZ,ELECCIONES GENERALES 2011,ALIANZA POR EL GRAN CAMBIO,2011,2016,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARCIAL ALCIBIADES,PALOMINO GARCIA MILLA ,EM 1998,VAMOS VECINOS,2000,2002,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARCIAL ALCIBIADES,PALOMINO GARCIA MILLA ,ERM2002,SOMOS PERÚ,2003,2006,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARCIAL ALCIBIADES,PALOMINO GARCIA MILLA ,ERM2010,MOVIMIENTO REGIONAL CONCERTACIÓN PARA EL DESARROLLO REGIONAL - LA FAMILIA,2011,2014,CONSEJERO REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARCO TULIO,FALCONI PICARDO ,ELECCIONES GENERALES 2011,PARTIDO POLITICO PERU POSIBLE,2011,2016,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARGARITA TEODORA,SUCARI CARI ,ELECCIONES GENERALES 2006,UNION POR EL PERU,2006,2011,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA JESUS,ESPINOZA MATOS ,ELECCIONES GENERALES 2000,ALIANZA ELECTORAL PERÚ 2000,2000,2001,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA JESUS,ESPINOZA MATOS ,ELECCIONES GENERALES 1995,CAMBIO 90 - NUEVA MAYORÍA,1995,2000,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIANO EUTROPIO,PORTUGAL CATACORA,ELECCIONES GENERALES 2011,PARTIDO POLITICO PERU POSIBLE,2011,Actualidad,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIANO EUTROPIO,PORTUGAL CATACORA,ERM 2002,UNION REGIONAL - PUNO,2003,2006,ALCALDE(SA) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARISOL,ESPINOZA CRUZ,ELECCIONES PRESIDENCIALES 2006,UNION POR EL PERU,2006,2011,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARISOL,ESPINOZA CRUZ,ELECCIONES PRESIDENCIALES 2011,PARTIDO NACIONALISTA PERUANO,2011,2016,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARISOL,ESPINOZA CRUZ,ELECCIONES PRESIDENCIALES 2011,PARTIDO NACIONALISTA PERUANO,2011,2016,VICEPRESIDENTE(A)
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,OLGA ROSA,YGLESIAS PELAEZ ,2010,PARTIDO APRISTA PERUANO,2011,2014,CONSEJERO REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,OLGA ROSA,YGLESIAS PELAEZ ,2006,FUERZA DEMOCRATICA,2007,2010,CONSEJERO REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,PEDRO JORGE,LOPEZ BARRIOS ,ERM 2010,MI CALLAO,2011,2014,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,PEDRO JORGE,LOPEZ BARRIOS ,ERM 2006,MI CALLAO,2007,2010,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,PEDRO JORGE,LOPEZ BARRIOS ,ERM 2002,MI CALLAO,2003,2006,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,RICHARD FRANK,ACUÑA NUÑEZ ,ELECCIONES GENERALES 2011,ALIANZA POR EL GRAN CAMBIO,2011,Actualidad,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROBERTO CARLOS,PALACIOS MESTAS,ELECCIONES REGIONALES Y MUNICIPALES 2010,UNIDAD DISTRITAL CHORRILLANA,2011,2014,REGIDOR(A) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROGELIO ANTENOR,CANCHES GUZMAN,2002,PERÚ POSIBLE,2003,2006,GOBERNADOR(A) REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROGELIO ANTENOR,CANCHES GUZMAN,2011,GANA PERÚ,2011,2016,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,SABINA,CARDENAS CANALES ,ELECCIONES REGIONALES Y MUNICIPALES 2010,ALIANZA REGIONAL INDEPENDIENTE,2011,2012,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,SABINA,CARDENAS CANALES ,ELECCIONES MUNICIPALES 2006,ORGANIZACIÓN INDEPENDIENTE,2007,2010,REGIDOR(A) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,SONNIA DEL CARMEN,ALARCON HORNA ,ELECCIONES MUNICIPALES 1998,FRENTE PROGRESISTA CUTERVINO,1999,2002,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,TADEO ANASTACIO,GUARDIA HUAMANI,ELECCIONES MUNICIPALES 2012,UNIDAD NACIONAL,2003,2006,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,ELECIONES REGIONALES Y MUNICIPALES 2003 - 2006,SOLIDARIDAD NACIONAL,2003,2006,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,ELECCIONES GENERALES 2011 - 2016,SOLIDARIDAD NACIONAL,2011,2016,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,WILLY,SERRATO PUSE ,ELECCIONES REGIONALES Y MUNICIPALES 2010,ALIANZA PARA EL PROGRESO,2011,2014,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,WILLY,SERRATO PUSE ,ELECIONES GENERALES MUNICIPALES 1995,OLMOS AL 2000,1996,1998,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,WILLY,SERRATO PUSE ,ELECCIONES GENERALES 2000,ALIANZA ELECTORAL PERU 2000,2000,2001,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,WILLY,SERRATO PUSE ,ELECCIONES CONGRESO CONSTITUYENTE DEMOCRATICO 1992,FRENTE INDEPENDIENTE MORALIZADOR,1992,1995,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,2001,PERÚ POSIBLE,2001,2006,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,2000,SOMOS PERÚ,2000,2001,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,1995,UNIÓN POR EL PERÚ,1995,2000,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,AIDA NALDY CLOTILDE,SOTOMAYOR GARCIA VDA DE ESTERRIPA,REGIONAL MUNICIPAL,MOVIMIENTO INDEPENDIENTE CHIMPUM CALLAO,2003,2006,REGIDOR(A) PROVINCIAL
ALIANZA POPULAR,CONGRESISTA,AIDA NALDY CLOTILDE,SOTOMAYOR GARCIA VDA DE ESTERRIPA,REGIONAL MUNICIPAL,ALIANZA REGIONAL CHIMPUM CALLAO,2015,Actualidad,REGIDOR(A) DISTRITAL
ALIANZA POPULAR,CONGRESISTA,AIDA NALDY CLOTILDE,SOTOMAYOR GARCIA VDA DE ESTERRIPA,REGIONAL MUNICIPAL,MOVIMIENTO INDEPENDIENTE CHIMPUM CALLAO,2011,2014,REGIDOR(A) DISTRITAL
ALIANZA POPULAR,CONGRESISTA,AIDA NALDY CLOTILDE,SOTOMAYOR GARCIA VDA DE ESTERRIPA,REGIONAL MUNICIPAL,MOVIMIENTO INDEPENDIENTE CHIMPUM CALLAO,2007,2010,REGIDOR(A) PROVINCIAL
ALIANZA POPULAR,CONGRESISTA,ALBERTO,MESSA MEZA ,2005,APRA,2006,2010,REGIDOR(A) PROVINCIAL
ALIANZA POPULAR,CONGRESISTA,ALEXANDER BRYAN,UCHASARA MAMANI ,REGIONALES Y MUNICIPALES 2006,MOVIMIENTO ANDINO SOCIALISTA,2007,2010,ALCALDE(SA) DISTRITAL
ALIANZA POPULAR,CONGRESISTA,ALFREDO ARCADIO,LOZADA BONILLA ,ELECCIONES MUNICIPALES 2010,PARTIDO POPULAR CRISTIANO,2013,2013,REGIDOR(A) PROVINCIAL
ALIANZA POPULAR,CONGRESISTA,ALFREDO ARCADIO,LOZADA BONILLA ,NUEVAS ELECCIONES 2013,PARTIDO POPULAR CRISTIANO,2013,2014,REGIDOR(A) PROVINCIAL
ALIANZA POPULAR,CONGRESISTA,ALONSO ALBERTO,NAVARRO CABANILLAS,ELECCIONES REGIONALES 2006,PARTIDO REGIONAL DE INTEGRACION,2007,2010,VICEGOBERNADOR(A) REGIONAL
ALIANZA POPULAR,CONGRESISTA,ALONSO ALBERTO,NAVARRO CABANILLAS,ELECCIONES REGIONALES 2010,FRENTE REGIONAL PROGRESISTA IQUEÑO,2011,2014,GOBERNADOR(A) REGIONAL
ALIANZA POPULAR,CONGRESISTA,ALVARO JUANITO,QUISPE PEREZ,2006,PARTIDO APRISTA PERUANO,2007,2010,REGIDOR(A) DISTRITAL
ALIANZA POPULAR,CONGRESISTA,ANDREA YOLANDA ANITA,LANATA DENTONE,Elecciones Municipales 2014,Partido Popular Cristiano,2015,Actualidad,REGIDOR(A) DISTRITAL
ALIANZA POPULAR,CONGRESISTA,ANGEL JAVIER,VELASQUEZ QUESQUEN,ELECCIONES 1995,PARTIDO APRISTA PERUANO ,1995,2000,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,ANGEL JAVIER,VELASQUEZ QUESQUEN,ELECCIONES 2011,PARTIDO APRISTA PERUANO,2011,2016,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,ANGEL JAVIER,VELASQUEZ QUESQUEN,ELECCIONES GENERALES 2006,PARTIDO APRISTA PERUANO,2006,2011,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,ANGEL JAVIER,VELASQUEZ QUESQUEN,ELECCIONES GENERALES 2001,PARTIDO APRISTA PERUANO,2001,2006,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,ANTONINA ROSARIO,SASIETA MORALES ,ELECCIONES GENERALES,FRENTE DE CENTRO,2006,2011,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,ANTONINA ROSARIO,SASIETA MORALES ,ELECCIONES MUNICIPALES 2006,ACCION POPULAR,2003,2006,REGIDOR(A) DISTRITAL
ALIANZA POPULAR,CONGRESISTA,CARLOS ENRIQUE,CALDERON CARVAJAL,Municipalidad Regional 2002,Partido Aprista Peruano,2003,2006,REGIDOR(A) DISTRITAL
ALIANZA POPULAR,CONGRESISTA,CARLOS ENRIQUE,CALDERON CARVAJAL,Elecciones Generales 1990,Partido Aprista Peruano,1990,1992,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,CARLOS ENRIQUE,CALDERON CARVAJAL,Municipalidad Regional 2006,Partido Aprista Peruano,2007,2010,REGIDOR(A) PROVINCIAL
ALIANZA POPULAR,CONGRESISTA,CAROLINA MARIA,MC CALLOCK SILVA,Elecciones Municipales 2010,Partido Popular Cristiano,2011,2014,REGIDOR(A) DISTRITAL
ALIANZA POPULAR,CONGRESISTA,CLAUDE MAURICE,MULDER BEDOYA ,2006,PARTIDO APRISTA PERUANO,2006,2011,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,CLAUDE MAURICE,MULDER BEDOYA ,2011,PARTIDO APRISTA PERUANO,2011,2016,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,CLAUDE MAURICE,MULDER BEDOYA ,2001,PARTIDO APRISTA PERUANO,2001,2006,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,DANTE ADOLFO,DE CORDOVA VELEZ ,1990 - 1995,APRA,1990,1992,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,DAVID ABRAHAM,SALAZAR MOROTE,2006,FRENTE POPULAR LLAPANCHIK,2007,2010,GOBERNADOR(A) REGIONAL
ALIANZA POPULAR,CONGRESISTA,EDGARDO RENAN,DE POMAR VIZCARRA,Elecciones Municipales 2010,Partido Popular Cristiano,2011,2014,REGIDOR(A) PROVINCIAL
ALIANZA POPULAR,CONGRESISTA,ELIAS NICOLAS,RODRIGUEZ ZAVALETA,ELECCIONES GENERALES 2006,PARTIDO APRISTA PERUANO,2006,2011,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,ELIAS NICOLAS,RODRIGUEZ ZAVALETA,ELECCIONES MUNICIPALES 2002,PARTIDO APRISTA PERUANO,2003,2006,REGIDOR(A) PROVINCIAL
ALIANZA POPULAR,CONGRESISTA,ELIAS NICOLAS,RODRIGUEZ ZAVALETA,ELECCIONES GENERALES 2011,PARTIDO APRISTA PERUANO,2011,2016,CONGRESISTA
ALIANZA POPULAR,CONGRESISTA,ENRIQUE,MERINO CRUZ ,MUNICIPAL,APRA,1987,1989,REGIDOR(A) PROVINCIAL
ALIANZA POPULAR,CONGRESISTA,ENRIQUE,MERINO CRUZ ,REGIONAL MUNICIPAL,APRA,2007,2010,REGIDOR(A) PROVINCIAL
ALIANZA POPULAR,CONGRESISTA,ENRIQUE,MERINO CRUZ ,MUNICIPAL,APRA,1990,1993,REGIDOR(A) DISTRITAL
ALIANZA POPULAR,CONGRESISTA,EVELIN,ORCON HUAMAN,2014,PARTIDO APRISTA PERUANO,2015,Actualidad,REGIDOR(A) PROVINCIAL
