ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,ORGANIZACION_POLITICA,ANIO_INICIO,ANIO_FINAL
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,CONCERTACION EN LA REGION PASCO,2004,2014
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,PARTIDO DESCENTRALISTA FUERZA SOCIAL,2010,2011
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,ACCION POPULAR,2006,0
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,ACCION POPULAR,1967,1997
ACCION POPULAR,CONGRESISTA,CARLOS PEDRO,ORTIZ SEGURA,SIEMPRE UNIDOS,2005,2010
ACCION POPULAR,CONGRESISTA,CESAR AUGUSTO LFJP,MARMOL WITTGRUBER,PERU POSIBLE,2005,2005
ACCION POPULAR,CONGRESISTA,GLORIA ALBINA,ALVARADO ROMERO,PERU POSIBLE ,2005,2005
ACCION POPULAR,CONGRESISTA,IBO,URBIOLA SIERRA,PARTIDO APRISTA PERUANO,2008,2009
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,PARTIDO APRISTA PERUANO,2008,2012
ACCION POPULAR,CONGRESISTA,JULIO,MORENO CARRASCO,MOVIMIENTO AMPLIO REGIONAL,2006,2010
ACCION POPULAR,CONGRESISTA,JULIO,MORENO CARRASCO,PERU POSIBLE ,2005,2007
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,KAUSASHUN CUSCO,2014,2015
ACCION POPULAR,CONGRESISTA,NARDY ANGELICA,CARDAMA GONZALES ,ACCION POPULAR ,2004,2010
ACCION POPULAR,CONGRESISTA,NORMA JUDITH,TORRES LOZANO,Partido Humanista Peruano ,2005,2007
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,MOVIMIENTO ARRIBA TACNA,2006,2009
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,MOVIMIENTO CÍVICO PERUANO,2013,2015
ACCION POPULAR,CONGRESISTA,VICENTE ARMANDO,ROJAS CAPISTRANO ,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,2010,2014
ACCION POPULAR,CONGRESISTA,VICTOR,LEON LEON,PARTIDO DEMOCRATICO SOMOS PERU,2014,2015
ACCION POPULAR,CONGRESISTA,VICTOR MANUEL,BELAUNDE GONZALES,SOMOS PERU,2009,2010
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,PARTIDO APRISTA PERUANO,1979,1988
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,AMERICO,CABECILLA GALVEZ,PARTIDO POLITICO PERU POSIBLE,2011,2014
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ARLES,OGOSI HUAMANI,Peru Posible (afiliación cancelada),2005,2008
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CHRISTOPHER ANTONIO,CASTILLO CALDERON ,PARTIDO POPULAR CRISTIANO - PPC,2007,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,MOVIMIENTO INDEPENDIENTE REGIONAL AYNI,2010,2012
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,ACCION POPULAR,1980,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ELIO NICOLAS,ARCAYA TASAYCO,PARTIDO POPULAR CRISTIANO,2007,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ELMER YUBINO,URIOL VELA,ACCIÓN POPULAR,2005,2012
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ENRIQUE,WONG PUJADA,PARTIDO JUSTICIA NACIONAL,2004,2006
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ENRIQUE,WONG PUJADA,PERUANOS POR EL CAMBIO,2014,2015
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ENRIQUE,WONG PUJADA,MI CALLAO,2010,2011
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ERNESTO ADOLFO,FLORES VILLAVICENCIO,Partido Nacionalista,2009,2009
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ERNESTO ADOLFO,FLORES VILLAVICENCIO,Union por el Peru,2011,2011
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GUSTAVO BERNARDO,RONDON FUDINAGA,MOVIMIENTO REGIONAL AREQUIPA REVOLUCION IGUALDAD,2010,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,IBAR,QUINTANA MOSCOSO,UNION POR EL PERU,2003,2009
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JACKELYNE KELLY,FUERTES VEGA DE DAVILA,FUERTES EN SAN LUIS,2010,2011
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JAIME ANTONIO,VASQUEZ ACOSTA ,Restauración Nacional,2004,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JAIME ROOSEWELT,MINAYA CASTROMONTE,TODOS POR EL PERU,2010,2015
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JAIME ROOSEWELT,MINAYA CASTROMONTE,DESPERTAR NACIONAL,2006,2008
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE ROMULO,VASQUEZ DIAZ,PARTIDO APRISTA PERUANO,2008,2015
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN DAVID,PERRY CRUZ,FUERZA DEMOCRATICA,2004,2007
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN DAVID,PERRY CRUZ,RESTAURACION NACIONAL,2007,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN HILMER,GONZALES SANDOVAL ,AGRUPACIÓN INDEPENDENCIA SI CUMPLE,2005,2007
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,KILDER,FUENTES BERMUDEZ,UNION POR EL PERU,2006,2007
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LEONOR,CASA ZEBALLOS ,PARTIDO NACIONALISTA PERUANO,2006,2014
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS ALBERTO,MATOS DEL POZO ,PARTIDO POPULAR CRISTIANO,2007,2013
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS HERACLIO,CASTRO RAMIREZ,FUERZA DEMOCRÁTICA,2004,2007
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,PARTIDO POPULAR CRISTIANO PPC,2010,2012
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARCO ANTONIO,ACOSTA ASHTU,PERÚ POSIBLE,2005,2005
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARTIN,BELAUNDE MOREYRA ,UNIÓN POR EL PERÚ,2004,2012
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MIGUEL ANGEL,GUEVARA SANTOS,Acción Popular,2006,2013
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MIRIAN ROSANA,BOCANEGRA SANTOS ,PARTIDO APRISTA PERUANO ,2008,2009
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ORESTES POMPEYO,SANCHEZ LUIS ,FRENTE POPULAR AGRÍCOLA FIA DEL PERÚ - FREPAP,2007,2007
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ORESTES POMPEYO,SANCHEZ LUIS ,PARTIDO NACIONALISTA PERUANO,2014,2015
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,OSCAR,CORDOVA BASILIO,SOMOS PERU,2013,2014
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,PEDRO ESTEBAN,ARREDONDO MENDOZA ,PARTIDO ALIANZA PARA EL PROGRESO ,2009,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,PEDRO ESTEBAN,ARREDONDO MENDOZA ,PARTIDO PERÚ POSIBLE,2005,2007
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,PILAR,ROJAS VILCHEZ,PARTIDO POPULAR CRISTIANO - PPC,2014,2015
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ROMAN LUIS,MARCELO CALLUPE,Concertación en la Región,2005,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ROSA,BAUTISTA NAVARRO ,PARTIDO SOLIDARIDAD NACIONAL,2010,2013
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,TEODULO FELIPE,PEÑA MEZA,MOVIMIENTO INDEPENDIENTE DE CAMPESINOS Y PROFESIONALES,2006,2006
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,TEODULO FELIPE,PEÑA MEZA,PARTIDO POLITICO PERU POSIBLE,2005,2006
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,WILDER VICTORIANO,CHAVEZ MARIN ,UNION SAN MARTINIANA,2006,2007
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ZENON,FARFAN CRUZADO,PARTIDO POR LA DEMOCRACIA SOCIAL COMPROMISO PERU,2005,2007
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,GUSTAVO BERNARDO,RONDON FUDINAGA,MOVIMIENTO REGIONAL AREQUIPA REVOLUCION IGUALDAD,2010,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ANA MERCEDES,ZUÑIGA MEDINA ,FUERZA AREQUIPEÑA,2010,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BENICIO,RIOS OCSA ,UNION POR EL PERU,2005,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BENIGNO TEOFILO,CORNEJO VALENCIA ,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,2013,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CARLOS ALBERTO,ANCCO SOTOMAYOR ,ORGANIZACIÓN POLÍTICA RENOVACIÓN NACIONAL,2005,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CARLOS DAVID,ALVA GONZALES ,PARTIDO POLITICO SOLIDARIDAD NACIONAL,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR ALFREDO,PALOMINO COLINA ,PARTIDO POLITICO PERU POSIBLE,2004,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR HENRY,VASQUEZ SANCHEZ ,ACCION POPULAR,2004,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CRISTOBAL EUDOS,CAPCHA GUERRA,FUERZA POPULAR,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CRISTOBAL EUDOS,CAPCHA GUERRA,CAMBIO RADICAL,2010,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,DINA IRENE,HANCCO HANCCO ,PROYECTO POLITICO AQUI,2010,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,EDWIN ALBERTO,DONAYRE GOTZCH,BIEN PERUANO,2010,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,EDWIN SANTIAGO,SIFUENTES CHAVEZ ,PARTIDO POLÍTICO COORDINADORA INDEPENDIENTE,2006,2006
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELISA,PAITA BERROSPI ,PARTIDO NACIONALISTA PERUANO,2009,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELOY RICARDO,NARVAEZ SOTO ,PARTIDO APRISTA PERUANO,2008,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELSA,VASQUEZ RUIZ ,RESTAURACION NACIONAL,2005,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELSA YOLANDA,MAMANI CARPIO ,PARTIDO SIEMPRE UNIDOS,2010,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,FRANCISCO ANTONIO,PEZO TORRES ,PARTIDO APRISTA PERUANO,1998,2007
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GELACIO LOMBARDO,MAUTINO ANGELES ,MOVIMIENTO ACCION NACIONALISTA PERUANO,2006,2008
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GLADYS NATALIE,CONDORI JAHUIRA ,PARTIDO NACIONALISTA PERUANO,2012,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,HERNAN,DE LA TORRE DUEÑAS ,UPP,2006,2009
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,HERNAN,DE LA TORRE DUEÑAS ,PARTIDO NACIONALISTA - GANA PERÚ,2012,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ISAAC,MEKLER NEIMAN,SOLIDARIDAD NACIONAL,2010,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ISAAC,MEKLER NEIMAN,PARTIDO NACIONALISTA PERUANO,2006,2009
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JAVIER,YAURI SALOME ,PARTIDO POLITICO PERU POSIBLE,2005,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JOSE,PUCHURI DURAND ,PARTIDO NACIONALISTA PERUANO,2006,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JOSE ALFONSO,MASLUCAN CULQUI ,PARTIDO NACIONALISTA PERUANO,2006,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JOSE FERNANDO,MENDOZA RAMIREZ ,PARTIDO POLITICO RESTAURACION NACIONAL,2010,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN NOE,CORNEJO CHINGUEL ,PARTIDO POLÍTICO PERÚ POSIBLE,1990,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN RAMIRO,ALVARADO GOMEZ,PERU POSIBLE,2010,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JULIO ERNESTO,VALDEZ CARDENAS ,FRENTE REGIONAL AYACUCHO,2005,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LILIA,VARGAS CESPEDES ,UNION POR EL PERU,2010,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LUIS AMERICO,MENENDEZ ROJAS,UNION POR EL PERU,2004,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LUZ REBECA,CRUZ TEVEZ ,PARTIDO POPULAR CRISTIANO - PPC,2005,2009
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARCO TULIO,FALCONI PICARDO ,MOVIMIENTO REGIONAL FUERZA AREQUIPEÑA,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARGARITA TEODORA,SUCARI CARI ,PARTIDO POLITICO UNION POR EL PERU,2005,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA ELSA,QUELLO BARRANTES ,PARTIDO NACIONALISTA PERUANO,2009,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA ENRIQUETA,RIVERA DELGADO ,PERÚ POSIBLE,2010,2011
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIO JAVIER,QUISPE SUAREZ ,PARTIDO POPULAR CRISTIANO,2004,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARISOL,ESPINOZA CRUZ,UNION POR EL PERU,2005,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARISOL,ESPINOZA CRUZ,PARTIDO NACIONALISTA PERUANO,2012,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MONICA MARGOT,GUILLEN TUANAMA ,PARTIDO POPULAR CRISTIANO,2004,2005
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MONICA MARGOT,GUILLEN TUANAMA ,PARTIDO APRISTA PERUANO,2005,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MONICA MARGOT,GUILLEN TUANAMA ,MOVIMIENTO REGIONAL OBRAS POR LA MODERNIDAD,2012,2016
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,NELSON ALBERTO,BARRANTES SANCHEZ ,PARTIDO APRISTA PERUANO,2004,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,NESTOR ARMANDO,PARI GONZALES ,PARTIDO TODOS POR EL PERÚ,2006,2006
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,NESTOR ARMANDO,PARI GONZALES ,PARTIDO JUSTICIA NACIONAL,2006,2007
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,NESTOR ARMANDO,PARI GONZALES ,PARTIDO APRISTA PERUANO,2000,2004
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,PEDRO GERARDO,REJAS TATAJE ,FUERZA POPULAR,2009,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,PEDRO JORGE,LOPEZ BARRIOS ,MI CALLAO,2005,2012
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,RICARDO,CHAVARRIA ORIA ,FUERZA NACIONAL,2005,2006
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROSA YOLANDA,VIGIL PEREZ ,FUERZA LORETANA,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,TADEO ANASTACIO,GUARDIA HUAMANI,TODOS POR EL PERÚ,2011,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,TADEO ANASTACIO,GUARDIA HUAMANI,PARTIDO POPULAR CRISTIANO - PPC,2010,2011
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,TITO JOSIP,JAIME HIDALGO,PARTIDO APRISTA PERUANO,2008,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,SOLIDARIDAD NACIONAL,1994,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,YVAN VLADIMIR,PARDO VINCES ,PARTIDO NACIONALISTA PERUANO,2010,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ZOILA SOLEDAD,YAURI AQUINO ,PARTIDO APRISTA PERUANO,2010,2012
ALIANZA POPULAR,CONGRESISTA,AIDA NALDY CLOTILDE,SOTOMAYOR GARCIA VDA DE ESTERRIPA,MOVIMIENTO INDEPENDIENTE CHIMPUM CALLAO,2010,2011
ALIANZA POPULAR,CONGRESISTA,AIDA NALDY CLOTILDE,SOTOMAYOR GARCIA VDA DE ESTERRIPA,PARTIDO POPULAR CRISTIANO,2005,2006
ALIANZA POPULAR,CONGRESISTA,ALONSO ALBERTO,NAVARRO CABANILLAS,PARTIDO POPULAR CRISTIANO,2005,2009
ALIANZA POPULAR,CONGRESISTA,ANDREA,VARGAS SORIA,PARTIDO ACCIÓN POPULAR,2006,2011
ALIANZA POPULAR,CONGRESISTA,ANTONINA ROSARIO,SASIETA MORALES ,ACCION POPULAR,2004,2010
ALIANZA POPULAR,CONGRESISTA,AYDEE ALBERTINA,LOPEZ PEREZ ,Organización Independiente Ashaninka del Pichis,2006,2007
ALIANZA POPULAR,CONGRESISTA,AYDEE ALBERTINA,LOPEZ PEREZ ,Peru Posible,2007,2011
ALIANZA POPULAR,CONGRESISTA,CARLOS ALFONSO,CASSARO MERINO ,Movimiento Regional Cajamarca Siempre Verde,2009,2013
ALIANZA POPULAR,CONGRESISTA,CARLOS ALFONSO,CASSARO MERINO ,Movimiento Regional Cajamarca Siempre Verde,2009,2013
ALIANZA POPULAR,CONGRESISTA,CIRO JESUS,RODRIGUEZ ALIAGA,PARTIDO POLITICO ADELANTE,2010,2011
ALIANZA POPULAR,CONGRESISTA,GIANINA DE JESUS,CAIPO BERROCAL,PARTIDO APRISTA PERUANO,2008,2014
ALIANZA POPULAR,CONGRESISTA,JOSE MARTIN,FORT BELLINA ,CAMBIO RADICAL,2010,2010
ALIANZA POPULAR,CONGRESISTA,JOSE MIGUEL,GAMBETTA RIOS ,PARTIDO APRISTA PERUANO,2010,2015
ALIANZA POPULAR,CONGRESISTA,LENIN HAROLD,AVILA SILVA,PERU POSIBLE,2007,2012
ALIANZA POPULAR,CONGRESISTA,LUIS BELTRAN,BARRA PACHECO,ALIANZA PARA EL PROGRESO,2004,2015
ALIANZA POPULAR,CONGRESISTA,MANUEL ISIDRO,VASQUEZ FLORES ,Partido Aprista Peruano,2005,2014
ALIANZA POPULAR,CONGRESISTA,PAOLA,CAPCHA CABRERA,APRA,2004,2009
ALIANZA POPULAR,CONGRESISTA,PAUL ERWIN,PFLÜCKER FAVERON ,PARTIDO POPULAR CRISTIANO PPC,2011,2014
ALIANZA POPULAR,CONGRESISTA,PILAR,MELGAR GUTIERREZ,PARTIDO PERU POSIBLE,2005,2015
ALIANZA POPULAR,CONGRESISTA,ROBERTO CARLOS,LAIME SIVANA ,MOVIMIENTO REGIONAL AUTOGOBIERNO AYLLU,2014,2015
ALIANZA POPULAR,CONGRESISTA,ROFILIO T,NEYRA HUAMANI ,VAMOS VECINOS,1998,2010
ALIANZA POPULAR,CONGRESISTA,ROSA LILIANA,TORRES CASTILLO ,MOVIMIENTO REGIONAL PATRIA JOVEN,2006,2011
ALIANZA POPULAR,CONGRESISTA,VICTOR FRANCISCO,TORRES JIMENEZ,ALIANZA PARA EL PROGRESO,2015,2015
DEMOCRACIA DIRECTA,CONGRESISTA,AMANDO LUCIO VICENTE,ZENTENO FLORES ,PARTIDO NACIONALISTA PERUANO,2010,2011
DEMOCRACIA DIRECTA,CONGRESISTA,ANANIAS WILDER,NARRO CULQUE,UNIÓN POR EL PERÚ,2006,2015
DEMOCRACIA DIRECTA,CONGRESISTA,ANDRES,SULLCARAY BENITO,ACCION POPULAR,2006,2008
DEMOCRACIA DIRECTA,CONGRESISTA,ANNABELLA,VILLEGAS DE CAYRO,UPP,2006,2009
DEMOCRACIA DIRECTA,CONGRESISTA,CARMELA,CARBAJAL OTAROLA ,GANA PERU,2010,2015
DEMOCRACIA DIRECTA,CONGRESISTA,DOMINGO WILLIAM,ANCCASI LOPEZ,PARTIDO APRISTA PERUANO,1987,2004
DEMOCRACIA DIRECTA,CONGRESISTA,DOMINGO WILLIAM,ANCCASI LOPEZ,PARTIDO NACIONALISTA PERUANO,2005,2015
DEMOCRACIA DIRECTA,CONGRESISTA,EDGAR ELVER,CHAVEZ ARONES,PARTIDO NACIONALISTA PERUANO,2005,2014
DEMOCRACIA DIRECTA,CONGRESISTA,EDGAR NELSON,QUISPE FLORES,PERU POSIBLE,2000,2008
DEMOCRACIA DIRECTA,CONGRESISTA,ELEUTERIO,TORREJON PEZO,PARTIDO NACIONALISTA PERUANO,2006,2015
DEMOCRACIA DIRECTA,CONGRESISTA,ELSA CELIA,ANICAMA ÑAÑEZ ,GANA PERU,2011,2015
DEMOCRACIA DIRECTA,CONGRESISTA,FAUSTINO ELENO,GUEVARA VASQUEZ,PARTIDO NACIONALISTA PERUANO,2011,2013
DEMOCRACIA DIRECTA,CONGRESISTA,FEDERICO,IBAÑES MATICORENA,PARTIDO POR LA DEMOCRACIA SOCIAL,2005,2007
DEMOCRACIA DIRECTA,CONGRESISTA,GERARDINA,TORRES TOLEDO ,SIEMPRE UNIDOS,2010,2010
DEMOCRACIA DIRECTA,CONGRESISTA,GERARDINA,TORRES TOLEDO ,PARTIDO APRISTA PERUANO,1978,2010
DEMOCRACIA DIRECTA,CONGRESISTA,GUSTAVO ALEXANDER,FUERTES ZORRILLA ,PARTIDO POPULAR CRISTIANO -  PPC,2013,2015
DEMOCRACIA DIRECTA,CONGRESISTA,ILIA SANDRA,ESPINOZA MANRIQUE DE LARA ,PARTIDO NACIONALISTA PERUANO,2011,2015
DEMOCRACIA DIRECTA,CONGRESISTA,JAMES,FLORES ACUÑA ,VAMOS PERU,2014,2014
DEMOCRACIA DIRECTA,CONGRESISTA,JOSE DEMETRIO,QUIÑONES COLCHADO ,PARTIDO DEMOCRACIA SOCIAL - COMPROMISO PERU,2004,2008
DEMOCRACIA DIRECTA,CONGRESISTA,JOSE DEMETRIO,QUIÑONES COLCHADO ,PARTIDO DESCENTRALISTA FUERZA SOCIAL,2008,2013
DEMOCRACIA DIRECTA,CONGRESISTA,JOSE MANUEL,CARLOS VALERIANO,APRA,1989,2015
DEMOCRACIA DIRECTA,CONGRESISTA,JOSE VICENTE,GARCIA CASTILLO,PERU POSIBLE,1999,2010
DEMOCRACIA DIRECTA,CONGRESISTA,JULIO CESAR,MALDONADO ALBARRACIN,PARTIDO PERU POSIBLE,2003,2005
