ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,ORGANIZACION_POLITICA,ANIO_INICIO,ANIO_FINAL
PARTIDO POLITICO ORDEN,CONGRESISTA,MARCELINO WALTER,MARQUINA SALGUERO,PARTIDO POPULAR CRISTIANO,2005,2009
PARTIDO POLITICO ORDEN,CONGRESISTA,MARCELINO WALTER,MARQUINA SALGUERO,PARTIDO APRISTA PERUANO,2008,2009
PARTIDO POLITICO ORDEN,CONGRESISTA,MERY LUCY,BOTTON ESTRADA,Partido Popular Cristiano,1994,2003
PARTIDO POLITICO ORDEN,CONGRESISTA,NORMANDO,MOZOMBITE MENDOZA,ACCIÓN POPULAR,2004,2007
PARTIDO POLITICO ORDEN,CONGRESISTA,ROMULO,MUCHO MAMANI,PERU POSIBLE,2005,2013
PARTIDO POLITICO ORDEN,CONGRESISTA,ROSA AMALIA,PARI QUENTA,NINGUNA,2015,2015
PARTIDO POLITICO ORDEN,CONGRESISTA,RUBEN ANGELINO,AZURIN ALVAREZ,PARTIDO POPULAR CRISTIANO ,2005,2014
PARTIDO POLITICO ORDEN,CONGRESISTA,SATURDINO,BRAN AGUILAR,PARTIDO NACIONALISTA PERUANO,2011,2016
PARTIDO POLITICO ORDEN,CONGRESISTA,SONIA MERCEDES,PAREDES BARRIGA,Partido Popular Cristiano,1976,2015
PARTIDO POLITICO ORDEN,CONGRESISTA,VIHELMO CEFERINO,VELAPATIÑO COCHACHI,PARTIDO POLÍTICO PERÚ POSIBLE,2011,2015
PARTIDO POLITICO ORDEN,CONGRESISTA,YNES MERCEDES,TRUJILLO VIDAL,Partido Político Vamos Perú,2014,2015
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Partido Popular Cristiano -PPC,1986,2007
PARTIDO POLITICO ORDEN,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ROMULO,MUCHO MAMANI,PERU POSIBLE,2005,2013
PARTIDO POLITICO ORDEN,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MERY LUCY,BOTTON ESTRADA,Partido Popular Cristiano,1994,2003
PERU LIBERTARIO,CONGRESISTA,CESAR,ACHING GUZMAN,PARTIDO APRISTA PERUANO ,2008,2014
PERU LIBERTARIO,CONGRESISTA,CLETO DANIEL,VALENCIA EYZAGUIRRE,PARTIDO POLITICO PERU POSIBLE,2001,2009
PERU LIBERTARIO,CONGRESISTA,FELICIANO REYNALDO,MENDOZA COSI,FRENTE AMPLIO ,2014,2015
PERU LIBERTARIO,CONGRESISTA,GUSTAVO DACIO,ESPINOZA SOTO,UNION POR EL PERU,2006,2008
PERU LIBERTARIO,CONGRESISTA,GUSTAVO DACIO,ESPINOZA SOTO,APRA,2004,2005
PERU LIBERTARIO,CONGRESISTA,IVAN,OVALLE ESCALANTE,MOVIMIENTO POPULAR CALLPA,2011,2011
PERU LIBERTARIO,CONGRESISTA,JOSE PASCUAL,PALACIOS MOGOLLON,PARTIDO NACIONALISTA PERUANO-PNP,2005,2015
PERU LIBERTARIO,CONGRESISTA,MARCELA ROCIO,SALDARRIAGA ORTIZ,UNIÓN POR EL PERU,2007,2010
PERU LIBERTARIO,CONGRESISTA,MOISES VIDAL,RAMON GONZALES,PARTIDO PERU POSIBLE,2005,2010
PERU LIBERTARIO,CONGRESISTA,RICARDO,AGUILERA ULLOA,PARTIDO NACIONALISTA PERUANO,2011,2015
PERU LIBERTARIO,CONGRESISTA,SANDRA NAHELY,VARGAS MOLINA,PARTIDO  POLÍTICO   VERDE,2012,2015
PERU LIBERTARIO,CONGRESISTA,SANDRA NAHELY,VARGAS MOLINA,SECRETARIA  NACIONAL   DE  INCLUSION,2012,2015
PERU LIBERTARIO,CONGRESISTA,SUSANA,VEGA SUDARIO,PARTIDO NACIONALISTA,2014,2014
PERU LIBERTARIO,CONGRESISTA,TEOFILO ELKI,FIESTAS PAZ,BLOQUE POPULAR,2010,2011
PERU LIBERTARIO,CONGRESISTA,TEOFILO ELKI,FIESTAS PAZ,PARTIDO SOCIALISTA,2005,2007
PERU LIBERTARIO,CONGRESISTA,VICTOR TORIBIO,QUISPE SALAZAR,PARTIDO NACIONALISTA PERUANO,2005,2006
PERU LIBERTARIO,CONGRESISTA,YANINA SOCORRO,POVEDA MERCEDES,PARTIDO POPULAR CRISTIANO,2009,2015
PERU LIBERTARIO,PRESIDENTE DE LA REPUBLICA,VLADIMIR ROY,CERRON ROJAS,MOVIMIENTO POLITICO REGIONAL PERU LIBRE,2007,2013
PERU LIBERTARIO,PRESIDENTE DE LA REPUBLICA,VLADIMIR ROY,CERRON ROJAS,FRENTE PATRIOTA PERUANO,2006,2007
PERU LIBERTARIO,PRESIDENTE DE LA REPUBLICA,VLADIMIR ROY,CERRON ROJAS,PARTIDO NACIONALISTA PERUANO,2005,2006
PERU LIBERTARIO,PRIMER VICEPRESIDENTE DE LA REPUBLICA,JORGE LUIS,PAREDES TERRY,PARTIDO NACIONALISTA PERUANO,2006,2013
PERU NACION,CONGRESISTA,ALEJANDRO,VILLANUEVA BOLAÑOS,Partido Popular Cristiano - PPC,1977,2011
PERU NACION,CONGRESISTA,ALFREDO,BABA NAKAO,"APRA, PPC",1975,1985
PERU NACION,CONGRESISTA,JAKELINE,MOZOMBITE MORALES,MOVIMIENTO INDEPENDIENTE JUNTOS POR EL DESARROLLO,2006,2011
PERU NACION,CONGRESISTA,JORGE ANTONIO,BOHORQUEZ MONTOYA,Partido Popular Cristiano,1967,1989
PERU NACION,CONGRESISTA,JUAN ARTURO,ZAVALA GARCIA,partido aprista del peru,1998,2002
PERU NACION,CONGRESISTA,LUIS ALBERTO,SANCHEZ CACERES,Partido Aprista Peruano,2008,2015
PERU NACION,CONGRESISTA,LUIS EDGAR,PALOMINO CABRERA,APRA,2005,2016
PERU NACION,CONGRESISTA,MOISES,ARISTA ESTACIO,Partido Politico Peru Nacion,2015,2015
PERU NACION,PRESIDENTE DE LA REPUBLICA,FRANCISCO ERNESTO,DIEZ-CANSECO TÁVARA,Movimiento de Bases Hayistas,1983,1989
PERU PATRIA SEGURA,CONGRESISTA,EFRAIN WALTER,CRUZ MAMANI,PERU POSIBLE,2005,2010
PERU PATRIA SEGURA,CONGRESISTA,FREDDY MODESTO,MONTESINOS RIOS,ACCION POPULAR,1979,2015
PERU PATRIA SEGURA,CONGRESISTA,LUIS ALBERTO,AYAUJA MALLMA,FUERZA 2011,2010,2011
PERU PATRIA SEGURA,CONGRESISTA,MAX ANTONIO,ORELLANA FIORI,PARTIDO NACIONALISTA DEL PERU ,2011,2015
PERU PATRIA SEGURA,CONGRESISTA,NEISSER,CUEVA CABALLERO,Partido Nacionalista ,2011,2013
PERU PATRIA SEGURA,CONGRESISTA,PEDRO HUMBERTO,JINES ARROYO,SI CUMPLE,1998,2009
PERU PATRIA SEGURA,CONGRESISTA,RAUL ANDRES,POMA PALACIOS,Acción Popular,1989,1990
PERU PATRIA SEGURA,CONGRESISTA,RAUL ANDRES,POMA PALACIOS,Partido Nacionalista del Perú,2006,2009
PERU PATRIA SEGURA,CONGRESISTA,RUTH MONICA,VELASQUEZ CARRANZA,ACCION POPULAR,2005,2014
PERU PATRIA SEGURA,CONGRESISTA,TILER NIRO,MANRIQUE PRADO,PARTIDO POPULAR CRISTIANO,2002,2005
PERU POSIBLE,CONGRESISTA,CARMEN ZOILA,VELASQUEZ TABOADA,PERU POSIBLE,2007,2013
PERU POSIBLE,CONGRESISTA,CARMEN ZOILA,VELASQUEZ TABOADA,ALIANZA PARA EL PROGRESO,2013,2014
PERU POSIBLE,CONGRESISTA,CIRO JERSY,CANCHUMANI SALOME,PARTIDO NACIONALISTA PERUANO,2011,2012
PERU POSIBLE,CONGRESISTA,EDUARDO,SALHUANA CAVIDES,PERU POSIBLE,2005,2015
PERU POSIBLE,CONGRESISTA,FRANK,LINARES PEREZ ,PARTIDO APRISTA PERUANO,2001,2014
PERU POSIBLE,CONGRESISTA,GLYNDA LINA,LOZANO PEREZ ,PARTIDO POPULAR CRISTIANO,2009,2011
PERU POSIBLE,CONGRESISTA,IVAN PAOLO,MONTALVO INOCENTE,ACCIÓN POPULAR,2003,2005
PERU POSIBLE,CONGRESISTA,LUIS ALBERTO,CLAUDIO ORELLANA,ALIANZA PARA EL PROGRESO,2010,2013
PERU POSIBLE,CONGRESISTA,MANUEL,RIOS ARCE,PARTIDO APRISTA PERUANO,2004,2010
PERU POSIBLE,CONGRESISTA,MARIA DEL CARMEN,OMONTE DURAND,Despertar Nacional,2005,2007
PERU POSIBLE,CONGRESISTA,MIGUEL AGUSTIN,PUESCAS RODRIGUEZ,Partido Nacionalista,2009,2013
PERU POSIBLE,CONGRESISTA,OSCAR ROLANDO,MORALES VEGA ,PARTIDO APRISTA PERUANO,1968,2000
PERU POSIBLE,CONGRESISTA,ROBERTO EDMUNDO,ANGULO ALVAREZ,PARTIDO NACIONALISTA,2005,2015
PERU POSIBLE,CONGRESISTA,RUTH,QUISPE VALENZUELA,PARTIDO NACIONALISTA,2009,2015
PERU POSIBLE,CONGRESISTA,RUTH,QUISPE VALENZUELA,PARTIDO NACIONALISTA,2009,2015
PERU POSIBLE,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MARIA DEL CARMEN,OMONTE DURAND,Despertar Nacional,2005,2007
PERUANOS POR EL KAMBIO,CONGRESISTA,ABACINIAS ELCIAS,ROMAN PALACIN,"MOV. INDEPENDIENTE UNIDOS POR JUNIN, SIERRA Y SELVA",2005,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,ABEL GRIMER,BULNES ROJAS,"PARTIDO POLITICO "" CAMBIO RADICAL"" ",2010,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,ABEL GRIMER,BULNES ROJAS,"PARTIDO POLÍTICO ""CONFIANZA PERÚ""",2014,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,ABEL GRIMER,BULNES ROJAS,"PARTIDO POLÍTICO ""VAMOS PERÚ""",2014,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,ALBERTO,DE BELAUNDE DE CARDENAS,"PARTIDO DEMOCRATICO ""SOMOS PERU""",2014,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,ALBERTO EUGENIO,OLIVA CORRALES,MOVIMIENTO REGIONAL OBRAS POR LA MODERNIDA,2014,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,ALDO FRANCO LEON,LOMBARDI MONTERO,PARTIDO DEMOCRATICO SOMOS PERU,2004,2005
PERUANOS POR EL KAMBIO,CONGRESISTA,ANA MELVA,BERNUY RAMIREZ ,ALIANZA PARA EL PROGRESO,2006,2007
PERUANOS POR EL KAMBIO,CONGRESISTA,AUGUSTO,SIPION BARRIOS,PARTIDO POLITICO VAMOS PERU,2014,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS ALBERTO,MONTERO VILLEGAS,FUERZA NACIONAL,2005,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS FERNANDO,ARMAS ABRILL,UNIÓN POR EL PERÚ,2011,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS RICARDO,BRUCE MONTES DE OCA,SOMOS PERU,2000,2000
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS RICARDO,BRUCE MONTES DE OCA,PERU POSIBLE (EXPULSION),2001,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN RAQUEL,NUÑEZ RENGIFO,"MOV. POLIT,. MOTOR DEL DESARROLLO",2005,2006
PERUANOS POR EL KAMBIO,CONGRESISTA,CAYO,CONDEZO MEZA,PERU POSIBLE,2011,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,CAYO,CONDEZO MEZA,ALIANZA PARA EL PROGRESO,2010,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,CECILIA ROXANA,TAIT VILLACORTA,PERU POSIBLE,2011,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,CLEMENTE,FLORES VILCHEZ,MOVIMIENTO REGIONAL: ''CONTIGO LAMBAYEQUE'',2013,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,DAMIAN,DE LA CRUZ CCANTO,PARTIDO DEMOCRATIO SOMOS PERU,2012,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,DONATO,DIAZ AYALA,SIEMPRE UNIDOS,2008,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,EDUARDO,ESPINOZA RAMOS,UNION POR EL PERU,2004,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,ELSA LOURDES,COLL CALDERON ,PARTIDO POPULAR CRISTIANO,2007,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,ERIBERTO,VILLANUEVA CASTREJON,Unión por el Perú,2005,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,FLOR DE MARIA,VALLE CULQUICONDOR,PERU POSIBLE,2000,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,FLOR MARISOL,BOCANEGRA URTECHO,PERÚ PATRIA SEGURA,2010,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,FRANCISCO KELER,RENGIFO KHAN,UNION POR EL PERU,2014,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,FREDDY ANGELLO,SIFUENTES OCAÑA,ALIANZA PARA EL PROGRESO ,2006,2007
PERUANOS POR EL KAMBIO,CONGRESISTA,GERMAN,CORDOVA VIDAL,PARTIDO POLITICO PERU POSIBLE,2009,2013
PERUANOS POR EL KAMBIO,CONGRESISTA,GINO FRANCISCO,COSTA SANTOLALLA,PARTIDO POR LA DEMOCRACIA SOCIAL,2005,2006
PERUANOS POR EL KAMBIO,CONGRESISTA,GINO FRANCISCO,COSTA SANTOLALLA,SOMOS PERÚ,2015,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,GIOCONDA ROSALBA,TRIPI MORALES,MOVIMIENTO INDEPENDIENTE CHIM PUM CALLAO,1996,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,GLADYS SOFIA,RODRIGUEZ ASPAJO,ALIANZA PARA EL PROGRESO,2010,2013
PERUANOS POR EL KAMBIO,CONGRESISTA,GONZALO EDUARDO,SANCHEZ BOCANEGRA,PARTIDO POLITICO VAMOS PERU,2014,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,GONZALO EDUARDO,SANCHEZ BOCANEGRA,PARTIDO POLITICO PERU POSIBLE,1999,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,HAROLD LEONCIO,BURGOS HERRERA,PARTIDO APRISTA PERUANO,2008,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,HECTOR HUGO,CHAVEZ CHUCHON,PARTIDO POPULAR CRISTIANO ,2001,2002
PERUANOS POR EL KAMBIO,CONGRESISTA,HECTOR HUGO,CHAVEZ CHUCHON,PERU POSIBLE,2010,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,ISAAC ERNESTO,MOLINA CHAVEZ,MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL AYACUCHO,2005,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,IVONNE,CONTRERAS CAMACHO,MOVIMIENTO POPULAR KALLPA,2007,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,JANET EMILIA,SANCHEZ ALVA,UNION DEMOCRÁTICA CHALACA -UDC,2012,2013
PERUANOS POR EL KAMBIO,CONGRESISTA,JANET EMILIA,SANCHEZ ALVA,PARTIDO APRISTA PERUANO,2004,2005
PERUANOS POR EL KAMBIO,CONGRESISTA,JAVIER FERNANDO MIGUEL,ATKINS LERGGIOS,MOVIMIENTO REGIONAL CONSTRUYENDO REGION,2009,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,JAVIER REMBERTO,ZEBALLOS CHAVEZ,PERU POSIBLE,2005,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,JORGE ENRIQUE,MELENDEZ CELIS,MOVIMIENTO INTEGRACIÓN LORETANA ,2010,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,JORGE ENRIQUE,MELENDEZ CELIS,PARTIDO APRISTA PERUANO ,2005,2005
PERUANOS POR EL KAMBIO,CONGRESISTA,JORGE LUIS,VILLACORTA CARRANZA,PERU POSIBLE,2000,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,JORGE WILSON,RIOS PEZO,PARTIDO APRISTA PERUANO,2004,2013
PERUANOS POR EL KAMBIO,CONGRESISTA,JUAN MANUEL KOSME,SHEPUT MOORE,PERÚ POSIBLE,1998,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,LUIS ALBERTO,BOCANGEL RAMIREZ,PARTIDO POPULAR CRISTIANO,2005,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,LUIS ALBERTO,CASTILLO POLO,MOVIMIENTO PARA EL DESARROLLO PROVINCIAL,2005,2007
PERUANOS POR EL KAMBIO,CONGRESISTA,LUIS ALFONSO,MONCADA VIGO,PARTIDO HUMANISTA,2008,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,LUIS ALFONSO,MONCADA VIGO,ALIANZA PARA EL PROGRESO,2005,2007
PERUANOS POR EL KAMBIO,CONGRESISTA,LUIS POMPILIO,RAMIREZ PINEDO,PARTIDO POLITICO PERU POSIBLE,2005,2013
PERUANOS POR EL KAMBIO,CONGRESISTA,MARCELINA,DIESTRA DE ANCHARAICO,PARTIDO POPULAR CRISTIANO (PPC),2010,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,MARCIAL GIANCARLO JESUS,CONTRERAS SALAZAR,Partido Democrático Somos Perú,2014,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,MARCO ANTONIO,MALDONADO GUTARRA,ACCION POPULAR,2005,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,MARIO DELFIN,RIOS ESPINOZA,MOVIMIENTO ESPERANZA REGION AMAZONICA,2005,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,MARIO NEMECIO,MELO VILLALVA,PERU POSIBLE,2002,2003
PERUANOS POR EL KAMBIO,CONGRESISTA,MAURICIO,RODRIGUEZ RODRIGUEZ,PROYECTO POLITICO AQUI,2010,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,MAURO MAURICIO,VILA BEJARANO,SOLIDARIDAD NACIONAL,2010,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,MOISES BARTOLOME,GUIA PIANTO, RESTAURACIÓN NACIONAL ,2009,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,MOISES BARTOLOME,GUIA PIANTO,PARTIDO NACIONALISTA PERUANO,2005,2009
PERUANOS POR EL KAMBIO,CONGRESISTA,NIDIA ORFELINDA,PUELLES BECERRA ,RESTAURACION NACIONAL ,2011,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,NIDIA ORFELINDA,PUELLES BECERRA ,PERU POSIBLE ,2001,2009
PERUANOS POR EL KAMBIO,CONGRESISTA,RAFAEL,VARGAS MALAGA,ACCION POPULAR,2005,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,RAUL,DIAZ PEREZ,UNION POR EL PERU,2006,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,RAUL MARIO,ORTIZ RODRIGUEZ,PARTIDO POPULAR CRISTIANNO,2004,2013
PERUANOS POR EL KAMBIO,CONGRESISTA,RICHARD HERCELLES,NEIRA COLMENARES,ALIANZA PARA EL PROGRESO,2014,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,ROBERTO GAMANIEL,VIEIRA PORTUGAL ,FUERZA 2011,2009,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,ROBERTO GAMANIEL,VIEIRA PORTUGAL ,SI CUMPLE,2004,2008
PERUANOS POR EL KAMBIO,CONGRESISTA,ROBERTO GAMANIEL,VIEIRA PORTUGAL ,VAMOS PERU,2011,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,ROSARIO ESTHER,NOVOA ESPINOZA,UPP / UNIÓN POR EL PERÚ,2005,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,ROSINA LUCI,RIVAS ALLAUCA,APRA,2009,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,SALEH CARLOS SALVADOR,HERESI CHICOMA,PARTIDO POPULAR CRISTIANO,2004,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,SALEH CARLOS SALVADOR,HERESI CHICOMA,CAMBIO RADICAL,2010,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,SERGIO ANGEL,CORDOVA CENA,PARTIDO POLÍTICO PERÚ POSIBLE,2009,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,TEODORO NICANOR,FIGUEROA ROSARIO,MOVIMIENTO REGIONAL PURO ANCASH,2008,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,TEODORO NICANOR,FIGUEROA ROSARIO,PARTIDO APRISTA PERUANO,2005,2006
PERUANOS POR EL KAMBIO,CONGRESISTA,VICENTE ANTONIO,ZEBALLOS SALINAS, COMPROMISO Y DESARROLO,2006,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,VICENTE ANTONIO,ZEBALLOS SALINAS,UNION POR EL PERU,2011,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,WALTER GILMER,CHIRINOS PURIZAGA,Solidaridad Nacional,2014,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,WALTER JESUS,SALAS ZAPATA,PERU POSIBLE,2005,2007
PERUANOS POR EL KAMBIO,CONGRESISTA,YURI TOFANO,HUAQUISTO ALATRISTA,ACCION POPULAR,1980,2010
PROGRESANDO PERU,CONGRESISTA,DIANA,MORI GONZALES DE TOULLEC,UCAYALI REGIÓN CON FUTURO,2014,2015
PROGRESANDO PERU,CONGRESISTA,MARIO,HUAYLLA QUISPE,Unión por el Perú,2005,2010
PROGRESANDO PERU,CONGRESISTA,OSCAR EMIGDIO,ALIAGA SANTANDER,Restauraion Mecional,2004,2015
PROGRESANDO PERU,CONGRESISTA,RAUL TEOFILO,GUEVARA ZELAYA,PARTIDO POLÍTICO POPULAR CRISTIANO,2007,2014
PROGRESANDO PERU,CONGRESISTA,YLDEFONZO SEVERIANO,ESPINOZA CANO,FONAVISTAS DEL PERU,2011,2011
PROGRESANDO PERU,CONGRESISTA,YLDEFONZO SEVERIANO,ESPINOZA CANO,ALIANZA POR EL PROGRESO,2006,2006
PROGRESANDO PERU,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,SILVIA LUZ,PAREJA GARCIA,PARTIDO POPULAR CRISTIANO,1977,2006
PROGRESANDO PERU,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,SILVIA LUZ,PAREJA GARCIA,PARTIDO NACIONALISTA PERUANO,2006,2015
TODOS POR EL PERU,CONGRESISTA,ALAN,BENEL CERNA,Movimiento Nueva Izquierda,2010,2012
TODOS POR EL PERU,CONGRESISTA,ALFREDO ERNESTO,SANCHEZ CAHUANA,PARTIDO NACIONALISTA PERUANO,2006,2013
TODOS POR EL PERU,CONGRESISTA,ANYLLI MARILU,VEGA PACAHUALA,TODOS POR EL PERU,2005,2015
TODOS POR EL PERU,CONGRESISTA,ARTURO,CASTILLO CHIRINOS,Acción Popular,1967,2005
TODOS POR EL PERU,CONGRESISTA,AYDEE,ESPINOZA PALOMINO,TODOS UNIDOS POR ABANCAY,2005,2007
TODOS POR EL PERU,CONGRESISTA,AYDEE,ESPINOZA PALOMINO,AGRUPACIÓN POR EL DESARROLLO DE ABANCAY ,2010,2011
TODOS POR EL PERU,CONGRESISTA,CARLOS ALBERTO,BOHORQUEZ CASTELLARES,MOVIMIENTO CIVICO PERUANO,2014,2015
TODOS POR EL PERU,CONGRESISTA,CARLOS ANDRES,HUAMAN TOMECICH,Acción Popular,2012,2015
TODOS POR EL PERU,CONGRESISTA,CARMELA SILENE,SALAZAR JAUREGUI,SENTIMIENTO AMAZONENSE REGIONAL,2013,2016
TODOS POR EL PERU,CONGRESISTA,CARMEN,FELIPE SOTO,PERU POSIBLE,2005,2012
TODOS POR EL PERU,CONGRESISTA,FRANCISCO RAFAEL,SAGASTI HOCHHAUSLER,PARTIDO POR LA DEMOCRACIA SOCIAL/ FUERZA SOCIAL,2000,2014
TODOS POR EL PERU,CONGRESISTA,FREDDI ROLAND,RODRIGUEZ ORDOÑEZ,CON FUERZA PERU,2005,2007
TODOS POR EL PERU,CONGRESISTA,GLADYS,ESPINOZA VASQUEZ,ORGANIZACION CRISTIANA DE INDEPENDENCIA,2010,2011
TODOS POR EL PERU,CONGRESISTA,GUSTAVO JUAN,PROLEON PONCE,Justicia Nacional,2006,2007
TODOS POR EL PERU,CONGRESISTA,HEIDY YESSENIA,PEREZ MIRANDA,PARTIDO NACIONALISTA PERUANO,2014,2015
TODOS POR EL PERU,CONGRESISTA,IRMA,PANDURO TORRES,Partido Político Perú Posible,2007,2014
TODOS POR EL PERU,CONGRESISTA,JOHN ALEXANDER,TORRES ROSELLO,PERU POSIBLE,2005,2010
TODOS POR EL PERU,CONGRESISTA,JOSE RICARDO,RACCHUMI DEL MAESTRO,PERU POSIBLE,2001,2004
TODOS POR EL PERU,CONGRESISTA,JUAN MANUEL,NEGRETE CARHUARICRA,Partido Democrático Somos Perú,2014,2015
TODOS POR EL PERU,CONGRESISTA,JUANA ESPERANZA,JARA CESPEDES,TRIUNFA PERU,2011,2015
TODOS POR EL PERU,CONGRESISTA,JUANA MAURA,UMASI LLAVE,PERÚ POSIBLE,2001,2012
TODOS POR EL PERU,CONGRESISTA,MELVIN GRIMALDO,RODRIGUEZ MINCHOLA,UNION POR EL PERU,2015,2015
TODOS POR EL PERU,CONGRESISTA,NOE FILIMON,ACUÑA FERNANDEZ,Restauración Nacional,2012,2015
TODOS POR EL PERU,CONGRESISTA,SANDRA MARIA,GONZALES GOMEZ,FRENTE AMPLIO POR JUSTICIA VIDA Y LIBERTAD,2012,2015
TODOS POR EL PERU,CONGRESISTA,WILLIAMS,AUCCAHUASI ALMIDON,MOVIMIENTO LLAPANCHIK,2003,2007
TODOS POR EL PERU,CONGRESISTA,WILLMERTH,CANTEÑO ALBORNOZ,Partido Político Perú Posible,2000,2006
