ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_CENTRO,NOMBRE_CARRERA,FECHAS,CONCLUIDO
PERU NACION,CONGRESISTA,GLADYS ESCOLASTICA,LEON MENDOZA,I.S.P.P. HUARAZ,EDUCACIÓN,1990 - 1994,Concluido
PERU NACION,CONGRESISTA,GUILIANA RAQUEL,ZUÑIGA GOTUZZO,Seminario Bíblico Camino de Vida,Seminario,1993 - 1997,Concluido
PERU NACION,CONGRESISTA,HENRY,RIVEROS ALVIZURI,"Escuel superior de Bellas Artes ""felipe Guaman Poma de Ayala""",Artes Plasticas,2000 - 2004,Concluido
PERU NACION,CONGRESISTA,JOSE ENRIQUE,BOOTTGER PRADA,"I.S.P.P. ""HORACIO ZEBALLOS GAMEZ""","EDUCACIÓN SECUNDARIA - ""LENGUA Y LITERATURA""",1988 - 1992,Concluido
PERU NACION,CONGRESISTA,JUAN CARLOS,LAPA CAMARGO,"ISTP ""TEODORO PEÑALOZA""",EDUCACIÓN SECUNDARIA,1997 - 0,Concluido
PERU NACION,CONGRESISTA,JUAN CARLOS,LAPA CAMARGO,"ISTP ""JAIME CERRÓN PALOMINO""",COMPUTACIÓN,2003 - 2005,Concluido
PERU NACION,CONGRESISTA,KATTIA ROXANA,MUCHA MANSILLA,"ISTP ""JOSÉ MARÍA ARGUEDAS""",ADMINISTRACIÓN,2003 - 2005,Concluido
PERU NACION,CONGRESISTA,LORENA FLORENCIA,CHAVEZ CARMONA DE DE LA CRUZ,SAMUEL INMAN,LIDERAZGO Y DESAFIÓ POLITICO,2002 - 2002,Concluido
PERU NACION,CONGRESISTA,MANUEL CRUZ,CULLAMPE GRANDEZ,COMPUTRONIC,INFORMATICA,1999 - 2000,No Concluido
PERU NACION,CONGRESISTA,MANUEL TEODORO,MACEDO ALTAMIRANO,ISPP HORACIO ZEBALLOS GAMEZ,EDUCACION,2006 - 2010,Concluido
PERU NACION,CONGRESISTA,MARIANELLA MONICA,FLORES GALINDO,ESCUELA DE SUBOFICIALES  PNP,ESTUDIOS POLICIALES ,1993 - 1994,Concluido
PERU NACION,CONGRESISTA,MARIANELLA MONICA,FLORES GALINDO,"IDIP ""Abraham Valdelomar""",Informática y microcomputacion,2004 - 2004,Concluido
PERU NACION,PRIMER VICEPRESIDENTE DE LA REPUBLICA,CLAUDIO ALEJANDRO,ZOLLA SUAREZ,Camino de Vida,Licenciatura en Teologia,1991 - 1993,Concluido
PERU PATRIA SEGURA,CONGRESISTA,BEDTIME,GARAY MONTES,"Instituto Superior Tecnológico ""Indoamérica""",.Profesora de Educación Inicial,1986 - 1990,Concluido
PERU PATRIA SEGURA,CONGRESISTA,BETTY ORMENCINDA,NUÑEZ DIAZ,EDUACION,ESCUELA NORMAL SUPERIOR MIXTO SUPRIOR SAGRADO CORA,1978 - 1982,Concluido
PERU PATRIA SEGURA,CONGRESISTA,EFRAIN WALTER,CRUZ MAMANI,I.S.T FRANCISCO DE PAULA GONZALES VIGIL,MECANICA AUTOMOTRIZ,1987 - 1989,Concluido
PERU PATRIA SEGURA,CONGRESISTA,ELIANA,ARIAS CALDERON,I.S.P. SAN ANDRES,EDUCACION PRIMARIA EBR,1995 - 1999,Concluido
PERU PATRIA SEGURA,CONGRESISTA,ESTELA CECILIA,GAMERO LOPEZ,Escuela Normal superior Marcelino Champagnat,Educacion,1974 - 1977,Concluido
PERU PATRIA SEGURA,CONGRESISTA,FERNANDO VICTOR,MACEDO MERCADO,-,ADMINISTRACIÓN,1978 - 1980,Concluido
PERU PATRIA SEGURA,CONGRESISTA,JUAN,VARGAS PEREZ,INSTITUTO SUPERIOR NO ESTATAL SANTA ROSA,PROFESOR EN EDUCACIÒN PRIMARIA,1996 - 2000,Concluido
PERU PATRIA SEGURA,CONGRESISTA,JULIO ELIAS,LANDERAS AVILA,"Escuela Normal Superior ""Carlos E. Uceda Meza""",Profesor de Educación Secundaria,1966 - 1969,Concluido
PERU PATRIA SEGURA,CONGRESISTA,LUIS ALBERTO,AYAUJA MALLMA,I.S.T. SAN AGUSTIN,TECNICO EN ENFERMERIA,1995 - 1998,Concluido
PERU PATRIA SEGURA,CONGRESISTA,RAQUEL,CHAVEZ CARDENAS,INSTITUTO PEDAGOGICO SAN JUAN,EDUCACIÓN INICIAL,2002 - 2007,Concluido
PERU PATRIA SEGURA,CONGRESISTA,SAMUEL,RUIZ CARDENAS,I.S.T.P. ROBERT OWEN,PROFESIONAL TECNICO EN CONTABILIDAD,2006 - 2010,Concluido
PERU PATRIA SEGURA,CONGRESISTA,TILER NIRO,MANRIQUE PRADO,UIVERSIDAD DE TACNA EXTENCION MOQUEGUA,DERECHO,1997 - 1998,No Concluido
PERU PATRIA SEGURA,CONGRESISTA,YANETT FABIOLA,RAMOS GARCIA,I.S.T. SAN AGUSTIN,COMPUTACIÒN,1991 - 1995,Concluido
PERU POSIBLE,CONGRESISTA,ANDRE XAVIER ANTONIO,ROMERO SANCHEZ,IPAE,INFORM{ATICO ADM. DE EMPRESAS,1999 - 2000,Concluido
PERU POSIBLE,CONGRESISTA,DALMACIO MODESTO,JULCA JARA ,CAEN,DESARROLLO Y DEFENSA NACIONAL,2006 - 2006,Concluido
PERU POSIBLE,CONGRESISTA,DELFINA VICTORIA,TORANZO ALFARO ,U.N.S.A.,MICROSOFT WORD 2000,2002 - 2002,Concluido
PERU POSIBLE,CONGRESISTA,DELFINA VICTORIA,TORANZO ALFARO ,U.N.S.A.,INFORMATICA BASICA,2002 - 2002,Concluido
PERU POSIBLE,CONGRESISTA,ELOY CRISTOBAL,VEGA SOLOGUREN,ESCUELA MILITAR DE CHORRILLOS,OFICIAL INFANTERIA,1976 - 1976,Concluido
PERU POSIBLE,CONGRESISTA,FATIMA ELIZABETH,PERALES ULLOQUE,"I.S.P. ""SANTO TORIBIO DE MOGROVEJO""",EDUCACIÓN SECUNDARIA,1993 - 1997,Concluido
PERU POSIBLE,CONGRESISTA,FREDY ERNAN,QUISPE YDME ,I.S.P. HONORIO DELGADO ESPINOZA,ADMINISTRACION DE SERVICIOS DE HOSTELERIA,2001 - 2003,Concluido
PERU POSIBLE,CONGRESISTA,GLADYS AMPARO,TORRES HERNANDEZ,"ESCUELA NORMAL ""SAGRADO CORAZÓN DE JESÚS",EDUCACIÓN,1975 - 1978,Concluido
PERU POSIBLE,CONGRESISTA,GLADYS AMPARO,TORRES HERNANDEZ,ACADEMIA PERU,SECRETARIADO COMERCIAL,1971 - 1971,Concluido
PERU POSIBLE,CONGRESISTA,HILDA,CHACCHA SUASNABAR ,TECSUP,PROGRAMA INTEGRAL DE AUTOMATIZACIÓN INDUSTRIAL,2000 - 2001,Concluido
PERU POSIBLE,CONGRESISTA,HILDA,CHACCHA SUASNABAR ,COSAPI DATA,PROGRAMA DE CAPACITACIÓN ,2007 - 2007,Concluido
PERU POSIBLE,CONGRESISTA,JANETT GLORIA,PEREZ HUERTA ,INSTITUTO NACIONAL SUPERIOR PEDAGÓGICO PUBLICO,EDUCACIÓN INICIAL,1988 - 1992,Concluido
PERU POSIBLE,CONGRESISTA,JESUS ELIZABETH,TASAYCO TERCERO DE GOMEZ,ENE. BENEFICIENCIA PUBLICA DE LIMA A. LOAYZA,ENFERMERIA,1973 - 1976,Concluido
PERU POSIBLE,CONGRESISTA,LUIS FERNANDO,DEZA COASACA ,I.S.P.P. JAVIER SANTISTEBAN LOZADA ,PROFESOR,1995 - 1999,Concluido
PERU POSIBLE,CONGRESISTA,MAGDA,DEL MAR CRUZ,I.S.P. DIVINO MAESTRO,EDUCACIÓN PRIMARIA,1998 - 0,Concluido
PERU POSIBLE,CONGRESISTA,MARIA DEL CARMEN,OMONTE DURAND,ESAN,Gerencia General,1995 - 1996,Concluido
PERU POSIBLE,CONGRESISTA,MARIO,AQUISE GOMEZ,INSTITUTO PEDAGÓGICO DE JULIACA,EDUCACIÓN,1994 - 1998,Concluido
PERU POSIBLE,CONGRESISTA,ROBERTO EDMUNDO,ANGULO ALVAREZ,ESAN,GESTION EMPRESARIAL  CON TECNOLOGIAS DE LA INFORMACION,2005 - 2005,Concluido
PERU POSIBLE,CONGRESISTA,TERESA ETELBINA,ALAGON JAUREGUI,INSTITUTO PERUANO NORTEAMERICANO ,INGLES ,1974 - 1975,No Concluido
PERU POSIBLE,CONGRESISTA,VICTORIA,VILLANUEVA QUIÑONES ,ESCUELA DE LA POLICIA NACIONAL,INSTRUCION PNP,2001 - 2002,Concluido
PERU POSIBLE,CONGRESISTA,WALTER FRANCISCO,GAGO RODRIGUEZ,CENTRO DE ALTOS ESTUDIOS NACIONALES - CAEN,DESARROLLO Y DEFENSA NACIONAL,2002 - 2002,Concluido
PERU POSIBLE,CONGRESISTA,WALTER FRANCISCO,GAGO RODRIGUEZ,THE GEORGE WASHINGTON UNIVERSITY ,ESTRATEGIAS DE CAMPAÑAS ELECTORALES,2010 - 2010,Concluido
PERU POSIBLE,CONGRESISTA,WILFREDO AUGUSTO,IDME RAMOS,ISP: JORGE BASADRE,DOCENTE DE SECUNDARIA,1989 - 1993,Concluido
PERU POSIBLE,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MARIA DEL CARMEN,OMONTE DURAND,ESAN,Gerencia General,1995 - 1996,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,ALDO FRANCO LEON,LOMBARDI MONTERO,CENTRO DE ALTOS ESTUDIOS NACIONALES - CAEN,V. CURSO ESPECIAL DE DESARROLLO Y DEFENSA NACIONAL,2001 - 2001,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,ALDO FRANCO LEON,LOMBARDI MONTERO,ESAN,ADM. MUNICIPAL: NUEVOS ENFOQUES Y DESAFIOS,2001 - 2001,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,ANA MARIA,CHOQUEHUANCA DE VILLANUEVA,ONUDI-ORGANIZACION DE NACIONES UNIDAS PARA EL DESARROLLO INDUSTRIAL,ANTEPROYECTOS CONSORCIOS PYMES,2010 - 2011,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLA FIORELLA,PETIT ARCE,CENTRO PERUANO DE FORMACION E INVESTIGACION CONTINUA,CONTRATACIONES DEL ESTADO,2015 - 2015,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN,CHIROQUE PAICO,COLEGIO DE ABOGADOS ,DERECHO Y CIENCIAS POLITICAS,2012 - 2012,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN GEORGINA,DUARTE PATIÑO DE PEZET,IPAE,CAPACITACION ADMINISTRATIVA,1975 - 1979,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,CELINA,PALOMINO SULCA,CENTRO DE ALTOS ESTUDIOS NACIONALES,DESARROLLO Y DEFENSA NACIONAL,2005 - 2005,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,CIRO RONALD,CASTILLO ROJO SALAS,ESCUELA DE SALUD PUBLICA,SALUD PUBLICA,1986 - 1986,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,DONATO,DIAZ AYALA,ICPNA,INGLES,1975 - 1976,No Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,EDGAR,RECAVARREN RIOS,INSTITUTO PERUANO DE DERECHO Y GESTION,GESTION AMBIENTAL,2012 - 2012,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,EDGAR,RECAVARREN RIOS,COLEGIO DE INGENIEROS DEL PERU,"RECOLECCION, TRANSPORTE Y TRANSFERERENCIA",2011 - 2011,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,FRANCISCO KELER,RENGIFO KHAN,I.S.P NUESTRA SRA DEL ROSARIO,CIENCIAS NATURALES,1992 - 1998,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,GIOCONDA ROSALBA,TRIPI MORALES,CENTRO DE ALTOS ESTUDIOS NACIONALES,ADMINISTRACION Y GESTION PUBLICA,2007 - 2007,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,GIOVANNA DEL PILAR,PRIALE REYES,GERENS,QUICK MBA,2004 - 2004,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,GIOVANNA DEL PILAR,PRIALE REYES,NATIONAL INSTITUTE OF BANKING,FINANZAS,2002 - 2002,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,GLADYS MARLENI,VENANCIO JORGE,"CETPRO "" KOTOSH""",TECNINCA  OCUPACIONAL,2000 - 2000,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,HERLESS,LAUREANO MAURICIO,INDAR-PERU,AGROINDUSTRIA,2000 - 2000,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,JANE GLORIA,MONTERO ARANDA,ESCUELA SUPERIOR DE GUERRA NAVAL,DIRECCION ESTRATEGICA PARA LA DEFENSA Y ADMINISTRACION DE CRISIS,2011 - 2011,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,LUIS POMPILIO,RAMIREZ PINEDO,CENTROS DE ALTOS ESTUDIOS NACIONALES (CAEN),DEFENSA Y DESARROLLO NACIONAL,2002 - 2003,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,MERCEDES ROSALBA,ARAOZ FERNANDEZ,NEW FIELD NETWORK,ACP SENIOR,2015 - 2015,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,MERCEDES ROSALBA,ARAOZ FERNANDEZ,NEW FIELD NETWORK,PROGRAMA AVANZADO DE COACHING,2012 - 2012,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,MIRIAM,CHILCON SILVA,UNIV. SAN IGNACIO DE LOYOLA,POLITICAS PUBLICAS,2011 - 2012,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,NIDIA ORFELINDA,PUELLES BECERRA ,JNE,GOBERNABILIDAD Y PROCESOS ELECTORALES,2009 - 2010,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,NORMA,BURGOS MONDRAGON,I.S.P.P CESAR A. VALLEJO,EDUCACIÓN SECUNDARIA,1996 - 2000,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,RAUL MARIO,ORTIZ RODRIGUEZ,ESA- IPAE,ADMINISTRACION DE NEGOCIOS,1982 - 1989,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,SHIRLEY MARGOT,REVOLLAR CACERES,INSTITUTO ELA,OPERADORA DE TELEX,1986 - 1987,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,SORAYA HORTENSIA LUISA,AZA DEL ALCAZAR,TRIBUNAL CONSTITUCIONAL,PROCESOS CONSTITUCIONALES,2015 - 2015,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,SORAYA HORTENSIA LUISA,AZA DEL ALCAZAR,COLEGIO DE ABOGADOS DEL CALLAO,DERECHO NOTARIAL,2015 - 2015,No Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,SORAYA HORTENSIA LUISA,AZA DEL ALCAZAR,CAEN,MAESTRIA EN DD.HH INTERNACIONAL,2009 - 2010,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,VICENTE ANTONIO,ZEBALLOS SALINAS,CENTRO DE ESTUDIOS CONSTITUCIONALES,DERECHO CONSTITUCIONAL,1989 - 1990,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,VICENTE ANTONIO,ZEBALLOS SALINAS,ESCUELA DIPLOMATICA,ESTUDIOS INTERNACIONALES,1991 - 1992,Concluido
PERUANOS POR EL KAMBIO,CONGRESISTA,WALTER,JIMENEZ JIMENEZ,I.S.P.P. GUSTAVO ALLENDE LLAVERIA,EDUCACION FISICA,2003 - 2007,Concluido
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Royal College of Music,Flauta - Piano,1954 - 1956,Concluido
PERUANOS POR EL KAMBIO,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MERCEDES ROSALBA,ARAOZ FERNANDEZ,NEW FIELD NETWORK,ACP SENIOR,2015 - 2015,Concluido
PERUANOS POR EL KAMBIO,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MERCEDES ROSALBA,ARAOZ FERNANDEZ,NEW FIELD NETWORK,PROGRAMA AVANZADO DE COACHING,2012 - 2012,Concluido
PROGRESANDO PERU,CONGRESISTA,EDDIE WILLIAM,BAZAN CALDERON,ESCUELA SUPERIOR PNP,POLICIA NACIONAL DEL PERU,1983 - 1984,Concluido
PROGRESANDO PERU,CONGRESISTA,HELLEN MARINE,ALVARADO CRUZ,INSTITUTO CESAR HABRAHAN VALLEJO  MENDOZA,EDUCACION PARA EL TRABAJO,2005 - 2010,Concluido
PROGRESANDO PERU,CONGRESISTA,LARRY,GUTIERREZ GONZALES,INSTITUTO FORMACION BANCARIA,CAJEROS,2013 - 2013,No Concluido
PROGRESANDO PERU,CONGRESISTA,NANCY DEL PILAR,OLIVERA HUERTA,INSTITUTO SUPERIOR PRIVADO ANTONIO RAYMONDI,LENGUA Y LITERATURA,1994 - 1998,Concluido
PROGRESANDO PERU,CONGRESISTA,RAUL TEOFILO,GUEVARA ZELAYA,ISP CHIMBOTE,EDUCACIÓN PRIMARIA,1988 - 1993,Concluido
PROGRESANDO PERU,CONGRESISTA,YLDEFONZO SEVERIANO,ESPINOZA CANO,ISP JUAN DIEGO,FILOSOFIA Y RELIGION,1990 - 0,Concluido
PROGRESANDO PERU,CONGRESISTA,YLDEFONZO SEVERIANO,ESPINOZA CANO,SEMINARIO SAN FRANCISCO DE SALES,FILOSOFIA Y TEOLOGIA,1988 - 1994,Concluido
PROGRESANDO PERU,PRESIDENTE DE LA REPUBLICA,MIGUEL WALTER,HILARIO ESCOBAR,SEMINARIO BIBLICO ANDINO,TEOLOGIA,1987 - 1989,No Concluido
PROGRESANDO PERU,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,SILVIA LUZ,PAREJA GARCIA,INSTITUTO TECNICO SUPERIOR ARGENTINA,ADMINISTRACION DE EMPRESAS,1978 - 1981,Concluido
TODOS POR EL PERU,CONGRESISTA,ANA CECILIA,LOPEZ SALAZAR,ISP. SAN FERNANDO DEL VALLE,EDUCACION,2006 - 2010,Concluido
TODOS POR EL PERU,CONGRESISTA,AYDEE,ESPINOZA PALOMINO,INSTITUTO SUPERIOR PEDAGÓGICO LA SALLE,EDUCACIÓN PRIMARIA,1981 - 1984,Concluido
TODOS POR EL PERU,CONGRESISTA,CARLOS ALBERTO,BOHORQUEZ CASTELLARES,ESCUELA SUPERIOR DE GUERRA  ,AUTO MANDO FAP,2002 - 0,Concluido
TODOS POR EL PERU,CONGRESISTA,CARLOS ALBERTO,BOHORQUEZ CASTELLARES,CADETE FAP ,ESCUELA OFICIOLES PNP ,1975 - 1978,Concluido
TODOS POR EL PERU,CONGRESISTA,CARLOS GUILLERMO,LAYZA SILVA,AOTS,PQPS2 Solución de problemas de calidad,2011 - 0,Concluido
TODOS POR EL PERU,CONGRESISTA,CARLOS GUILLERMO,LAYZA SILVA,STEPAC LA LTD,Manejo post Cosecha,2009 - 2009,Concluido
TODOS POR EL PERU,CONGRESISTA,CARMEN ROSA,RIOS GUTIERREZ,Academia San Ignacio de Loyola,Secretariado Ejecutivo,1996 - 0,Concluido
TODOS POR EL PERU,CONGRESISTA,CARMEN ROSA,RIOS GUTIERREZ,Academia Brown,Secretariado Ejecutivo,1981 - 1983,Concluido
TODOS POR EL PERU,CONGRESISTA,JUAN GREGORIO,GIRON ALZAMORA,I.E.S.P.P TAMBOGRANDE,DOCENCIA,2000 - 2002,No Concluido
TODOS POR EL PERU,CONGRESISTA,MARTA NELLY,ANCCO CHALCO DE HURTADO,INSTITUTO DE DESARROLLO GERENCIAL(UNIVERSIDAD DE TRUJILLO),GESTIÓN PUBLICA,2014 - 2015,Concluido
TODOS POR EL PERU,CONGRESISTA,MAVILO,ROMERO TORRES,"I.S.P. ""JOSE JIMENEZ BORJA DE TACNA""",EDUCACION PRIMARIA,1985 - 1991,Concluido
TODOS POR EL PERU,CONGRESISTA,MELVIN GRIMALDO,RODRIGUEZ MINCHOLA,ESCUELA NACIONAL DE PROTECCION CIVIL,MAESTRIA EN GESTION DE RIESGOS DE DESASTRES,2007 - 2007,Concluido
TODOS POR EL PERU,CONGRESISTA,PATRICIA KRISTEL,GUILLEN ALVAREZ,INSTITUTO SUPERIOR PEDAGOGICO PRIVADO Señor de Luren,PROFESORA DE EDUCACION SECCUNDARIA,2001 - 2006,Concluido
TODOS POR EL PERU,CONGRESISTA,ROCIO ELIZABETH,MERCEDES BOBADILLA,Instituto de construcción civil de Rastov,Idioma Ruso,1987 - 1992,Concluido
TODOS POR EL PERU,CONGRESISTA,RUTH TEONILA,CORDOVA QUISPE,ISPP José Jimenez Borja,Educación,1990 - 1994,Concluido
