ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_CENTRO,NOMBRE_CARRERA,FECHAS
PERU PATRIA SEGURA,CONGRESISTA,VICTOR HUGO DANIEL,MANCHEGO LIÑAN,IST. CEPEA,GUIA OFICIAL DE TURISMO ,2007 - 2010
PERU PATRIA SEGURA,CONGRESISTA,VICTOR HUGO DANIEL,MANCHEGO LIÑAN,IST. CESCA ,ENSAMBLAJE DE COMPUTADORAS ,2004 - 2005
PERU POSIBLE,CONGRESISTA,ANA ROSARIO,QUIROZ CASTAÑEDA ,INST.TECNICO SUPERIOR PARTICULAR DE RELACIONES PUBLICAS E INDUSTRIALES,RELACIONES INDUSTRIALES,1977 - 1981
PERU POSIBLE,CONGRESISTA,ANDRE XAVIER ANTONIO,ROMERO SANCHEZ,UNIVERSIDAD GEORGE WASHINTON ,CAMPAÑAS ELECTORALES,2010 - 2010
PERU POSIBLE,CONGRESISTA,DELFINA VICTORIA,TORANZO ALFARO ,CENECAPE-ANDRÉS BELLO,AUXILIAR DE CONTABILIDAD Y CONTOMETRIA,1983 - 1984
PERU POSIBLE,CONGRESISTA,DELFINA VICTORIA,TORANZO ALFARO ,C.E.O. NUESTRA SEÑORA DE LOS ANGELES,FISIOTERAPIA,2004 - 2004
PERU POSIBLE,CONGRESISTA,DORA MAXIMILA,RODRIGUEZ CAMPUSANO VDA DE RIVERA,CENTRO DE CAPACITACION DE LIMA,ESCUELA DE CAPACITACION MAGISTERIAL,1968 - 1971
PERU POSIBLE,CONGRESISTA,EDITH FANY,JIMENEZ GARCIA,INSTITUTO BELEN,SECRETARIADO EJECUTIVO,1983 - 1984
PERU POSIBLE,CONGRESISTA,ERIKA ROXANA,HUANCAS RETTEZ,MODERN SYSTEMS,TÉCNICO EN COMPUTACIÓN E INFORMÁTUCA,2002 - 2002
PERU POSIBLE,CONGRESISTA,ERIKA ROXANA,HUANCAS RETTEZ,MODERN SYSTEMS,TÉCNICO EN CONTABILIDAD,2010 - 2012
PERU POSIBLE,CONGRESISTA,EVER SALVADOR,BURGA SERRANO,INSTITUTO SUPERIOR TECNOLOGICO PUBLICO UTCUBAMBA,CONTABILIDAD,2005 - 2006
PERU POSIBLE,CONGRESISTA,GISSELA,ROJAS FERNANDEZ,LABORATORIO CLINICO,I.S.T.P. DANIEL ALCIDES CARRIÓN ,2011 - 2013
PERU POSIBLE,CONGRESISTA,GONZALO,CRUZ ABARCA,CENTRO INSTRUCCIÓN GUARDIA CIVIL (PNP),FORMACIÓN  POLICIAL,1984 - 1985
PERU POSIBLE,CONGRESISTA,GUIDO OCTAVIO,PANTIGOSO MOLINA ,MINISTERIO DE JUSTICIA,CONCILIACION EXTRA JUDICIAL,2012 - 2012
PERU POSIBLE,CONGRESISTA,GUIDO OCTAVIO,PANTIGOSO MOLINA ,MINISTERIO DE JUSTICIA,CONCILIACION EXTRA JUDICIAL,2012 - 2012
PERU POSIBLE,CONGRESISTA,HELGA PAOLA,ELERA PITTA,IDAT,TECNICO EN COMPUTACION,1999 - 2000
PERU POSIBLE,CONGRESISTA,HELGA PAOLA,ELERA PITTA,INSTITUTO SUPERIOR TECNOLOGICO SISTEMAS PERU,PERIODISMO RADIAL Y TELEVISIVO,2003 - 2005
PERU POSIBLE,CONGRESISTA,IVAN PAOLO,MONTALVO INOCENTE,A,EXPORTACIÓN,2000 - 2001
PERU POSIBLE,CONGRESISTA,IVAN PAOLO,MONTALVO INOCENTE,SIDEM,CONTABILIDAD,1999 - 2000
PERU POSIBLE,CONGRESISTA,JOSE LEONCIO,CASTAÑEDA ESPEJO,POLITÉCNICO MARCIAL ACHARAN,ELECTRICIDAD,1973 - 1977
PERU POSIBLE,CONGRESISTA,JUANA,MAMANI CALSIN,"Instituto Superior Pedagogico Tecnico ""Jose Antonio Encinas""",Agropecuaria,1994 - 1997
PERU POSIBLE,CONGRESISTA,KARLA MAGNOLIA,MAMANI VERIA,ABACO,MICROSOFT OFFICE ,2003 - 2003
PERU POSIBLE,CONGRESISTA,KARLA MAGNOLIA,MAMANI VERIA,ABACO,COMPUTACION E INFORMATICA,2003 - 2003
PERU POSIBLE,CONGRESISTA,LUIS FERNANDO,DEZA COASACA ,I.S.T PEDRO VILCAPAZA,ENFERMERÍA TÉCNICA ,1989 - 1993
PERU POSIBLE,CONGRESISTA,MARIA AZUCENA,ALEGRIA ROMAN ,CENTRO DE IDIOMAS U.N. FEDERICO VILLARREAL,INGLES BASICO X,2009 - 2010
PERU POSIBLE,CONGRESISTA,MARIA AZUCENA,ALEGRIA ROMAN ,UNIVERSIDAD DE INGENIERIA,----,2008 - 2008
PERU POSIBLE,CONGRESISTA,MARY DEL CARMEN,URRUNAGA BERRIOS ,I.S.P OCTAVIO MATTA CONTRERAS,EDUCACION FISICA,1992 - 1997
PERU POSIBLE,CONGRESISTA,MILAGRITOS DE JESUS,TONG ALVARADO,ESCUELA SUPERIOR DE ARTE IGNACIO MERINO,artes plasticas,1987 - 1992
PERU POSIBLE,CONGRESISTA,MILAGROS ESTEFANIA,RODRIGUEZ CORNEJO,ESCUELA DE GERENCIA PÚBLICA,PROPUESTA DE REFORMA DEL ESTADO,2015 - 2015
PERU POSIBLE,CONGRESISTA,MILAGROS ESTEFANIA,RODRIGUEZ CORNEJO,I.S.T SABIO NACIONAL ANTUNEZ DE MAYOLO,CONTABILIDAD,2013 - 2013
PERU POSIBLE,CONGRESISTA,MILAGROS ESTEFANIA,RODRIGUEZ CORNEJO,INSTITUTO PERUANO DE ADMINISTRACIÓN DE EMPRESAS,ADMINISTRACIÓN DE RECURSOS HUMANOS,2006 - 2007
PERU POSIBLE,CONGRESISTA,MILAGROS JANET,GUZMAN SOTO,CEO SANTA FORTUNATA,OPERADOR DE SISTEMAS,1996 - 0
PERU POSIBLE,CONGRESISTA,MILAGROS JANET,GUZMAN SOTO,INT. FELIPE HUAMAN POMA DE AYALA,TEC. CONTABILIDAD,1988 - 1990
PERU POSIBLE,CONGRESISTA,MIRTA ISABEL,VELASQUEZ CHUMAN,I.S.T ENRIQUE LÓPEZ ALBÚJAR,TÉCNICO CONSTRUCCIÓN CIVIL,1986 - 1988
PERU POSIBLE,CONGRESISTA,NANCY IDALIA,GIL VILLANUEVA ,IDEP-,GESTION DE PROYECTOS DE INCLUSION Y DESARROLLO SOCIAL,2015 - 0
PERU POSIBLE,CONGRESISTA,PATRICIA ISABEL,DEL AGUILA GERBI,SANTIAGON ANTUNEZ DE MAYOLO,ADMINISTRACION,1983 - 1983
PERU POSIBLE,CONGRESISTA,RENNAN SAMUEL,ESPINOZA ROSALES ,IPAE,ADMINISTRACION,1995 - 1995
PERU POSIBLE,CONGRESISTA,ROBERTO ANTONIO,CASTRO MEZONES,I.S.T.P. san isidro de piura,administracion bancaria,1996 - 1999
PERU POSIBLE,CONGRESISTA,ROXANA JANET,DEL CARPIO RAMIREZ VDA DE LEON,ESAE,ADMINISTRACION,1985 - 1985
PERU POSIBLE,CONGRESISTA,SILVIA,BARRERA VASQUEZ ,COMPUTRONIC TECH,COMPUTACION E INFORMATICA,1995 - 1998
PERU POSIBLE,CONGRESISTA,TERESA ETELBINA,ALAGON JAUREGUI,EL PORVENIR ,TENEDOR DEL LIBROS ,1974 - 1974
PERU POSIBLE,CONGRESISTA,WILDA LIZETH,PITOY CHAVEZ,I.S.T. APARICIO POMARES,INDUSTRIAS ALIMENTARIAS ,1999 - 2000
PERU POSIBLE,CONGRESISTA,WILDA LIZETH,PITOY CHAVEZ,I.S.T.P. MANUEL AREVALO ,INDUSTRIAS ALIMENTARIAS,2001 - 2001
PERU POSIBLE,CONGRESISTA,YVAN SEGUNDINO,HERNANDEZ CARRASCO,CITEC DEL NORTE,OPERADOR EN WINDOWS,1998 - 1998
PERUANOS POR EL KAMBIO,CONGRESISTA,ABACINIAS ELCIAS,ROMAN PALACIN,DISEÑO,I.S.T. SAN JUAN BOSCO,2010 - 0
PERUANOS POR EL KAMBIO,CONGRESISTA,ABACINIAS ELCIAS,ROMAN PALACIN,COMPUTRON,COMPUTACION,2004 - 2005
PERUANOS POR EL KAMBIO,CONGRESISTA,ABEL GRIMER,BULNES ROJAS,CITEN,RADIO - OPERADOR,1981 - 1982
PERUANOS POR EL KAMBIO,CONGRESISTA,ANYELA MACARENA,CUETO MAMANI,NEUMAN BUSSINES SCHOOL,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,2005 - 2007
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN GEORGINA,DUARTE PATIÑO DE PEZET,EL CLUB TALLER DE ARTE,TALLER DE LOCUCION RADIAL,1983 - 1983
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN GEORGINA,DUARTE PATIÑO DE PEZET,ACADEMIA MARGARITA CABRERA MANZUR,SECRETARIADO,1973 - 1974
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN RAQUEL,NUÑEZ RENGIFO,SERAFIN FILOMENO,TECNICO EN SALUD,1987 - 1988
PERUANOS POR EL KAMBIO,CONGRESISTA,DONATO,DIAZ AYALA,INSTITUTO DE TECNICAS AMERICANAS,MECANOGRAFIA,1972 - 1973
PERUANOS POR EL KAMBIO,CONGRESISTA,FLOR MARISOL,BOCANEGRA URTECHO,INST. SUPEC. TEC. DEL NORTE,CIENCIAS DE LA COMUNICACIÓN,1990 - 1992
PERUANOS POR EL KAMBIO,CONGRESISTA,GIOCONDA ROSALBA,TRIPI MORALES,CENTRO DE IDIOMAS WISON,SECRETARIADO O EJECUTIVO,1976 - 1976
PERUANOS POR EL KAMBIO,CONGRESISTA,GLORIA,CASTILLO VALVERDE,El Porvenir,Sectretariado ejecutivo,1989 - 1990
PERUANOS POR EL KAMBIO,CONGRESISTA,HERLESS,LAUREANO MAURICIO,CONTINENTAL,COMERCIO EXTERIOR,2000 - 2000
PERUANOS POR EL KAMBIO,CONGRESISTA,IVAN ADOLFO,CARRANZA SAUCEDO,ASOCIACION PERUANA DE CIENCIAS JURIDICAS Y CONCILIACION APPEC,FORMACION DE CONSILIADORES,2000 - 2001
PERUANOS POR EL KAMBIO,CONGRESISTA,IVAN ADOLFO,CARRANZA SAUCEDO,INSTITUTO DE EDUCACION SUPERIOR DE INVESTIGACION Y DESARROLLO IDAT,TECNICO EN COMPUTACION ,2008 - 2009
PERUANOS POR EL KAMBIO,CONGRESISTA,JANET EMILIA,SANCHEZ ALVA,I.S.T.P ARGENTINA,TECNICO EN CONTABILIDAD,1993 - 1995
PERUANOS POR EL KAMBIO,CONGRESISTA,JORGE WILSON,RIOS PEZO,CENTRO DE INSTRUCCION GUARDIA CIVIL,GUARDIA CIVIL,1975 - 1975
PERUANOS POR EL KAMBIO,CONGRESISTA,JORGE WILSON,RIOS PEZO,ALFONSO HUAPAYA CABRERA,DIRECCION TECNICO EN FUTBOL,2005 - 2007
PERUANOS POR EL KAMBIO,CONGRESISTA,LIDIA GUMERCINDA,PRADO CARITAS,INDIFOR UNSCH,INFORMATICA,2004 - 2005
PERUANOS POR EL KAMBIO,CONGRESISTA,LIDIA GUMERCINDA,PRADO CARITAS,INDIFOR UNSCH,INGLES BASICO AVANZADO,2004 - 2005
PERUANOS POR EL KAMBIO,CONGRESISTA,MARCIAL GIANCARLO JESUS,CONTRERAS SALAZAR,ISTECEX- ADEX,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,1993 - 1996
PERUANOS POR EL KAMBIO,CONGRESISTA,MARIA DEL PILAR,TORRES LEVANO,ICPNA,SECRETARIADO COMERCIAL ICPNA,1976 - 1976
PERUANOS POR EL KAMBIO,CONGRESISTA,MARIA SANTOS,VASQUEZ RAFAEL,INSTITUTO DE TEOLOGIA PASTORAL SAN MARTIN,TEOLOGIA ,2009 - 2010
PERUANOS POR EL KAMBIO,CONGRESISTA,MIRIAM,CHILCON SILVA,ALTOS ESTUDIOS (CAEPE),CAEPE,2010 - 2010
PERUANOS POR EL KAMBIO,CONGRESISTA,MIRIAM,CHILCON SILVA,CAEN,ADMINISTRACION,2009 - 2009
PERUANOS POR EL KAMBIO,CONGRESISTA,MOISES BARTOLOME,GUIA PIANTO,I.S.T. PRIVADO ESEFUL,TECNICO DE FUTBOL,2008 - 2010
PERUANOS POR EL KAMBIO,CONGRESISTA,MOISES BARTOLOME,GUIA PIANTO,I.S.T. SANTIAGO ANTUNEZ DE MAYOLO ,TECNICO CONTABILIDAD,1988 - 1990
PERUANOS POR EL KAMBIO,CONGRESISTA,PERPETUA,TACA YANA,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,MANEJO DE MICROEMPRESAS,1988 - 1988
PERUANOS POR EL KAMBIO,CONGRESISTA,PERPETUA,TACA YANA,EL PASO COMMUNITY COLLEGE,GESTION DE PEQUEÑAS EMPRESAS DESARROLLO COMUNITARIO Y LIDERAZGO,1988 - 1988
PERUANOS POR EL KAMBIO,CONGRESISTA,RAFAEL,VARGAS MALAGA,CENTROS ACADEMICOS DE ADEX,COMERCIO EXTERIOR,2001 - 2001
PERUANOS POR EL KAMBIO,CONGRESISTA,RICHARD HERCELLES,NEIRA COLMENARES,CAJA PIURA,MICROFINANZAS,2010 - 2010
PERUANOS POR EL KAMBIO,CONGRESISTA,RICHARD HERCELLES,NEIRA COLMENARES,ABACO,DIPLOMADO EN EXCEL,2009 - 2009
PERUANOS POR EL KAMBIO,CONGRESISTA,ROBERTO GAMANIEL,VIEIRA PORTUGAL ,TOULOUSE LAUTREC MIRAFLORES,PUBLICIDAD,1988 - 1989
PERUANOS POR EL KAMBIO,CONGRESISTA,ROBERTO GAMANIEL,VIEIRA PORTUGAL ,INSTITUTO SAN IGNACIO DE LOYOLA,ADMINISTRACION,1997 - 1998
PERUANOS POR EL KAMBIO,CONGRESISTA,ROCIO,VILLANUEVA MUÑOZ,CETPRO CAJAMARCA,SECRETARIADO EJECUTIVO,2006 - 2006
PERUANOS POR EL KAMBIO,CONGRESISTA,ROSINA LUCI,RIVAS ALLAUCA,CICEX,INGLES BASICO,2001 - 2002
PERUANOS POR EL KAMBIO,CONGRESISTA,SHIRLEY MARGOT,REVOLLAR CACERES,INSTITUTO ELA,SECRETARIADO ,1985 - 1986
PERUANOS POR EL KAMBIO,CONGRESISTA,SHIRLEY MARGOT,REVOLLAR CACERES,INSTITUTO ELA ,COMERCIO EXTERIOR,1986 - 1986
PERUANOS POR EL KAMBIO,CONGRESISTA,TERESA,HUARCA LOPEZ,I.E.P. “ESCUELAS AMERICANAS”,SECRETARIA IBM,1989 - 1990
PERUANOS POR EL KAMBIO,CONGRESISTA,TERESA,HUARCA LOPEZ,INSTITUTO TECNOLOGICO BANCHERO ROSI,COMPUTACION,1988 - 1989
PERUANOS POR EL KAMBIO,CONGRESISTA,TERESA,HUARCA LOPEZ,I.E.P. “ESCUELAS AMERICANAS”,SECRETARIA,1985 - 1987
PROGRESANDO PERU,CONGRESISTA,DIANA,MORI GONZALES DE TOULLEC,INSTITUTO SUPERIOR PEDAGÓGICO BILINGÜE DE YARINACOCHA,LENGUA Y LITERATURA,1995 - 2000
PROGRESANDO PERU,CONGRESISTA,EDDIE WILLIAM,BAZAN CALDERON,UNIVERSIDAD PRIVADA SAN CARLOS,ENSAMBLAJE DE REDES LAN,2012 - 2012
PROGRESANDO PERU,CONGRESISTA,EDIHT FRANCISCA,ALZAMORA AÑASCO,CEO Diego Quispe Tito,Enfermería Tecnica,2003 - 2004
PROGRESANDO PERU,CONGRESISTA,EDIHT FRANCISCA,ALZAMORA AÑASCO,Institución Superior Santa Rosa,Educación Primaria,1985 - 1989
PROGRESANDO PERU,CONGRESISTA,EDIHT FRANCISCA,ALZAMORA AÑASCO,Juan Thomas Tuyro Tupac,Corte y Confección,1986 - 1987
PROGRESANDO PERU,CONGRESISTA,EDIHT FRANCISCA,ALZAMORA AÑASCO,Escuela de Peritos Agrícolas de Urubamba,Bachiller en Ganadería,1975 - 0
PROGRESANDO PERU,CONGRESISTA,EDIHT FRANCISCA,ALZAMORA AÑASCO,CEO Latinoamericano,Carrera Técnica de Administración de servicios Turísticos.,2003 - 0
PROGRESANDO PERU,CONGRESISTA,EDIHT FRANCISCA,ALZAMORA AÑASCO,CENECAPE Anita,Cosmetología,1986 - 0
PROGRESANDO PERU,CONGRESISTA,LARRY,GUTIERREZ GONZALES,INSTITUTO DE FORMACION BANCARIA,CAJEROS,2013 - 2013
PROGRESANDO PERU,CONGRESISTA,LUIS ENRIQUE,MANRIQUE VICENTE,ESCUELA TECNICA DE LA UNP.,SISTEMAS,2013 - 0
PROGRESANDO PERU,CONGRESISTA,LYS GLENY,CASTAÑEDA HERNANDEZ,I:S.T. ''Lima'',Enfermería Técnica,1985 - 1989
PROGRESANDO PERU,CONGRESISTA,MIRTHA ALIDA,ALBORNOZ CAJAS,"Instituto Superior Tecnológico ""Señor de Burgos""",Enfermería,1995 - 1997
PROGRESANDO PERU,CONGRESISTA,NANCY,VICENTE JIMENEZ,CIMAS,NUEVAS TENDENCIAS EN ADMINISTRACION,2008 - 2008
PROGRESANDO PERU,CONGRESISTA,NANCY,VICENTE JIMENEZ,IST SUPERIOR COSMOS,CONTABILIDAD,1987 - 1989
PROGRESANDO PERU,CONGRESISTA,NANCY,VICENTE JIMENEZ,IST SAN FERNANDO,COMPUTACION,2007 - 2007
PROGRESANDO PERU,CONGRESISTA,NANCY DEL PILAR,OLIVERA HUERTA,INSTITUTO GUZMAN BARRON,OBSTETRICIA,1994 - 1994
PROGRESANDO PERU,CONGRESISTA,PATRICIA GERALDINE,CHIRINOS TOVAR,ESCUELA INTERNACIONAL DE GERENCIA (EIGER),COMPUTACIÓN E INFORMATICA,2002 - 2003
PROGRESANDO PERU,CONGRESISTA,PATRICIO ELISBAN,CARI ARAPA,Escuela de Suboficiales ,Primer curso de Capacitacion Grafotecnica,2004 - 2004
PROGRESANDO PERU,CONGRESISTA,RENATO,ESPINOZA YOVERA,TECSUP N 1,ELECTRONICA,2004 - 2006
PROGRESANDO PERU,CONGRESISTA,ROBERT JIMMY,DELGADO SANTA FE,U.N.A Santiago A. Mayolo,Administración de Empresas,2002 - 2002
PROGRESANDO PERU,CONGRESISTA,ROBERT JIMMY,DELGADO SANTA FE,Contabilidad,U.N.A Santiago A Maydo,2006 - 0
PROGRESANDO PERU,CONGRESISTA,TUPAK INTI,WALLPA QESPE,G.U.E Mariano Melgar ,Electrónica,1968 - 1972
PROGRESANDO PERU,CONGRESISTA,YANIRA,CHAMBILLA FLORES,I.S.T. FCO.DE PAULA GONZALES VIGIL,TEC. AGRONOMIA,1999 - 2001
PROGRESANDO PERU,PRESIDENTE DE LA REPUBLICA,MIGUEL WALTER,HILARIO ESCOBAR,YOUTH WITH A MISSION - TEXAS,MISIONES,1990 - 1991
TODOS POR EL PERU,CONGRESISTA,CARLOS LENNIN JESUS,SANCHEZ LOPEZ,Escuela superior de Bellas Artes ''Macedonio de la torre'',Arte,1989 - 2001
TODOS POR EL PERU,CONGRESISTA,CARMEN,FELIPE SOTO,"INSTITUTO PEDAGOGICO ""MARCOS DURAN MARTEL""",EDUCACION,1989 - 1994
TODOS POR EL PERU,CONGRESISTA,CESAR MEDARDO,TORRES VEGA,Colegio Regional Chimbote,Tecnico en electronica,1972 - 1972
TODOS POR EL PERU,CONGRESISTA,CHRISTIAN PAUL,TORPOCO VIVAS,AUPAIR PERU,ALEMAN,2002 - 0
TODOS POR EL PERU,CONGRESISTA,CHRISTIAN PAUL,TORPOCO VIVAS,ICPNA,ingles,2000 - 2002
TODOS POR EL PERU,CONGRESISTA,CRISTINA DORA,RAMOS PRIMO,Instituto Nuestra Señora del Carmen,Técnica en Asistencia Social,1973 - 1976
TODOS POR EL PERU,CONGRESISTA,CYNTIA JAQUELINE,HUAROC ESTEBAN,Instituto Superior Tecnológico José María Arguedas,Enfermería Tecnica,1998 - 2000
TODOS POR EL PERU,CONGRESISTA,FREDI YONI,TARAZONA MILLA,I.S.T.P. Maria Elena Moyano,diseño grafico publicitario,2000 - 2000
TODOS POR EL PERU,CONGRESISTA,GLADYS EVELYN,BAZAN GALLARDO,CENTRO DE ESTUDIOS INFORMÁTICOS DE LA UNIVERSIDAD NACIONAL HERMILIO VALDIZAN  ,OFIMÁTICA EMPRESARIAL ,2010 - 2010
TODOS POR EL PERU,CONGRESISTA,HANS FRANK,HERRERA ZAVALETA,PAUL MULLER,TÉCNICO EN COMPUTACIÓN ,2011 - 2012
TODOS POR EL PERU,CONGRESISTA,HECTOR EDWY,VELA ARICA,INSTITUTO DE ALTOS ESTUDIOS INFORMÁTICOS  MÁSTER THECNICAL,COMPUTACIÓN Y ADMINISTRACIÓN DE SISTEMAS ,1994 - 1994
TODOS POR EL PERU,CONGRESISTA,HECTOR EDWY,VELA ARICA,INSTITUTO SUPERIOR TECNOLÓGICO ALMIRANTE MIGUEL GRAU,CONTABILIDAD,1993 - 1995
TODOS POR EL PERU,CONGRESISTA,IRMA,PANDURO TORRES,Cenecape Sigmund Freud,Cursos de Auxiliar de Enfermeria,1980 - 1980
TODOS POR EL PERU,CONGRESISTA,JOSE LUIS,RAMIREZ JARA,SENATI,Especialista en Mantenimiento de Redes,2008 - 2009
TODOS POR EL PERU,CONGRESISTA,JOSE RICARDO,RACCHUMI DEL MAESTRO,SENATI,MECANICA DE PRECISION ,1989 - 1992
TODOS POR EL PERU,CONGRESISTA,JUANA MAURA,UMASI LLAVE,INSTITUTO TECNOLÓGICO PÚBLICO ESPINAR,TÉCNICO EN ENFERMERÍA,1989 - 1991
TODOS POR EL PERU,CONGRESISTA,JULIA AGUEDA,VALENCIA GRIJALVA,ORACLE,ORACLE DEVELOPER,2013 - 2013
TODOS POR EL PERU,CONGRESISTA,JULIA AGUEDA,VALENCIA GRIJALVA,ORACLE,ORACLE EBS  12 AR,2013 - 0
TODOS POR EL PERU,CONGRESISTA,JULIA AGUEDA,VALENCIA GRIJALVA,PORTAL DE OEA,FINANCIAMIENTO POLITICO,2011 - 2011
TODOS POR EL PERU,CONGRESISTA,JULIA AGUEDA,VALENCIA GRIJALVA,PORTAL DE OEA,FORMACION EN TUTORIA,2010 - 2010
TODOS POR EL PERU,CONGRESISTA,KOKY MARGOT,CHAVEZ ZAMORA,SENATI,MICROSOFT WORD,2015 - 2015
TODOS POR EL PERU,CONGRESISTA,KOKY MARGOT,CHAVEZ ZAMORA,SENATI,EXPERTO EN MICROSOFT EXCEL,2015 - 2015
TODOS POR EL PERU,CONGRESISTA,LEONCIO PEDRO,AMUDIO PEÑA,TECSUP - AREQUIPA,MANTENIMIENTO DE MAQUINARIA PESADA,1997 - 1999
TODOS POR EL PERU,CONGRESISTA,LUIS ENRIQUE,LOZANO ZELADA,INSTITUTO ABACO,OFIMATICA,1997 - 1997
TODOS POR EL PERU,CONGRESISTA,MANUEL ANTONIO,LA SERNA CHICOMA,INEI,WIN OFFICE,1998 - 1998
TODOS POR EL PERU,CONGRESISTA,MANUEL GABRIEL,GALLASTEGUI SABROSO,ECEX - ADEX,EXPERTO COMERCIO EXTERIOR,1984 - 1985
TODOS POR EL PERU,CONGRESISTA,MARIA DEL PILAR,YABAR PAREDES,INSTITUTO TRUJILLO,ENFERMERIA TECNICA,1984 - 1987
TODOS POR EL PERU,CONGRESISTA,MARIA ELENA,VERA CORREA,ADEX,GESTION DEL COMERCIO INTERNACIONAL ,2013 - 2013
TODOS POR EL PERU,CONGRESISTA,MARIA OFELIA,CARPIO ARANDA,Oscar Colombo,Estilista,2012 - 2014
TODOS POR EL PERU,CONGRESISTA,MARIA TERESA,DULANTO GUINEA,ADEX,COMERCIO INTERNACIONAL,2005 - 2006
TODOS POR EL PERU,CONGRESISTA,MARIA TERESA,DULANTO GUINEA,INSTITUTO SUPERIOR TECNOLOGICO MARGARITA CABRERA ,SECRETARIADO EJECUTIVO ,1972 - 1973
TODOS POR EL PERU,CONGRESISTA,MELVIN GRIMALDO,RODRIGUEZ MINCHOLA,CAEN,ADMINISTRACION DE GOBIERNOS LOCALES Y REGIONALES,2010 - 2010
TODOS POR EL PERU,CONGRESISTA,PAUL ANTONIO,SOBRADO NUNTA,Comite Olimpico Peruano,Lucha Olimpica,2012 - 2012
TODOS POR EL PERU,CONGRESISTA,WILLIAMS,AUCCAHUASI ALMIDON,INSTITUTO SUPERIOR TECNOLOGICO DE CHALHUANCA ,MANEJO DE AVES MENORES ,1993 - 1993
